,PatternID,Text,Cause,Effect
53,82,"They represent very early life stages of a chicken, turtle, pig, and human being. The embryos look so similar that its hard to tell them apart. Such similarities provide evidence that all four types of animals are related.",The embryos look so similar,its hard to tell them apart
54,82,"Atoms are the building block of all of the elements that make up the matter in your body or any other living or non-living thing. Atoms are so small that only the most powerful microscopes can see them. Atoms themselves are composed of even smaller particles, including positively charged protons, uncharged neu-trons, and negatively charged electrons.",Atoms are so small,only the most powerful microscopes can see them
55,82," Millions of years ago, there were so many dead plants and animals that they could not completely decompose before they were buried. They were covered over by soil or sand, tar or ice.","Millions of years ago, there were so many dead",they could not completely decompose before they were buried
56,82," Millions of years ago, there were so many dead plants and animals that they could not completely decompose before they were buried. They were covered over by soil or sand, tar or ice.","Millions of years ago, there were so many dead",they could not completely decompose before they were buried
57,82,The Earth is at least as old as its oldest rocks. The oldest rock minerals found on Earth so far are crystals that are at least 4.404 billion years old. These tiny crystals were found in Australia.,oldest rock minerals found on Earth so far,are at least 4.404 billion years old
58,82,"Look at the metal surfaces in Figure 13.8. The metal foil is so smooth that it is shiny. However, when highly magnified, the surface of metal appears to be very bumpy.",The metal foil is so smooth,it is shiny
59,82," A friend whispers to you in class in a voice so soft that you have to lean very close to hear what hes saying. Later that day, your friend shouts to you across the football field.",A friend whispers to you in class in a voice so soft,you have to lean very close to hear what hes saying
60,82,"The shortest-wavelength, highest-frequency electromagnetic waves are X rays and gamma rays. These rays have so much energy that they can pass through many materials. This makes them potentially very harmful, but it also makes them useful for certain purposes.",These rays have so much,they can pass through many materials
61,82,"For example, period 1 contains only two elements. Periods 6 and 7, in contrast, are so long that some of their elements are placed below the main part of the table. They are the elements starting with lanthanum (La) in period 6 and actinium (Ac) in period 7.","Periods 6 and 7, in contrast, are so long",some of their elements are placed below the main part of the table
62,82,"For example, iron is not as strong as steel, which is a mixture of iron and small amounts of carbon. Steel is so strong that it can hold up huge bridges, like the one Figure 7.15. Steel is also used to make skyscrapers, cargo ships, cars, and trains.",Steel is so strong,it can hold up huge bridges
63,82,"It is burned in acetylene torches, like the one in Figure 9.13. Acetylene produces so much heat when it burns that it can melt metal. Breaking all those bonds between carbon atoms releases a lot of energy.",Acetylene produces so much,it can melt metal
64,82,An incandescent light bulb like the one pictured in the Figure 1.1 produces visible light by incandescence. Incan-descence occurs when something gets so hot that it glows. An incandescent light bulb contains a thin wire filament made of tungsten.,Incan-descence occurs when something gets so hot,it glows
65,82,"When you drop a paper clip, why doesnt it fall toward you instead of toward Earth? A: Earth is so much more massive than you that its gravitational pull on the paper clip is immensely greater. ",A: Earth is so much more,its gravitational pull on the paper clip is immensely greater
66,82,"It easily loses its one valence electron to form positive potassium ions (K+), which are needed by all living cells. Potassium is so impor-tant for plants that it is found in almost all fertilizers, like the one shown here. Potassium is abundant in Earths crust in minerals such as feldspar.",Potassium is so impor,"it is found in almost all fertilizers, like the one shown here"
67,82,Q: Why can low-amplitude sounds like whispers be heard only over short distances? A: The sound waves already have so little energy that spreading them out over a wider area quickly reduces their intensity below the level of hearing. ,A: The sound waves already have so little,spreading them out over a wider area quickly reduces their intensity below the level of hearing
68,82,"For example, period 1 contains only two elements: hydrogen (H) and helium (He). In contrast, periods 6 and 7 are so long that many of their elements are placed below the main part of the table. They are the elements starting with lanthanum (La) in period 6 and actinium (Ac) in period 7.","In contrast, periods 6 and 7 are so long",many of their elements are placed below the main part of the table
69,82,"Objects with greater mass have a stronger force of gravity between them. For example, because Earth is so massive, it attracts you and your desk more strongly that you and your desk attract each other. Thats why you and the desk remain in place on the floor rather than moving toward one another.","For example, because Earth is so massive",you and your desk attract each other
71,82,"Incandescent light bulbs also produce light in this way. When electric current passes through a wire filament inside an incandescent bulb, the wire gets so hot that it glows. Do you see the glowing filament inside the incandescent light bulb in the Figure 1.1?","When electric current passes through a wire filament inside an incandescent bulb, the wire gets so hot",it glows
72,82,"It is burned in acetylene torches, like the one pictured in the Figure 1.4. The flame of an acetylene torch is so hot that it can melt metal. Cutting metal with an acetylene (ethyne) torch.",The flame of an acetylene torch is so hot,it can melt metal
73,82," Because valence electrons are so important, atoms are often represented by simple diagrams that show only their valence electrons. These are called electron dot diagrams, and three are shown below.",Because valence electrons are so important,show only their valence electrons
74,79,"Oceanography is the study of the oceans. The word oceanology might be more accurate, since ology is the study of. Graph is to write and refers to map making.",ology is the study of,The word oceanology might be more accurate
75,79,"Between the grains are pores, or tiny holes. Since water can move through this rock it is permeable. Eventually, the water reaches a layer of rock that is not porous and so is impermeable.",water can move through this rock it is permeable,"Between the grains are pores, or tiny holes"
76,79,The bacteria that make food from chemicals are also primary producers. These organisms do not do photosynthesis since there is no light at the vents. They do something called chemosynthesis.,there is no light at the vents,These organisms do not do photosynthesis
77,79,"A microclimate can be due to a place being deeper. Since cold air sinks, a depression in the land can be a lot colder than the land around it. ","cold air sinks, a depression in the land can be a lot colder than the land around it",A microclimate can be due to a place being deeper
78,79,"But each time, the anomaly (the difference from average temperature) was less than 1 C (1.8 F). Since the mid 1800s, Earth has warmed up quickly. Look at Figure 17.19.","the mid 1800s, Earth has warmed up quickly",the anomaly (the difference from average temperature) was less than 1 C (1.8 F)
79,79,Look at Figure 17.19. The 14 hottest years on record have all occurred since 1900. Eight of them have occurred since 1998!,1900. Eight of them have occurred since 1998,on record have all occurred
80,79,The 14 hottest years on record have all occurred since 1900. Eight of them have occurred since 1998! This is what is usually meant by global warming.,1998! This is what is usually meant by global warming,Eight of them have occurred
81,79,The nitrogen is a fertilizer in the water bodies. Since there is a lot of nitrogen it causes algae to grow out of control. Figure 18.14 shows a pond covered with algae.,there is a lot of nitrogen it causes algae to grow out of control,The nitrogen is a fertilizer in the water bodies
82,79,"This caused rapid population growth. However, the birth rate in these countries has since fallen to a rate close to that of the low death rate. The result was slow population growth once again.",fallen to a rate close to that of the low death rate,rate in these countries has
83,79,"It peaked in 2006. Since then, it has been somewhat smaller. ","then, it has been somewhat smaller",It peaked in 2006
84,79,"There is less air above the telescope, so there is less interference from the atmosphere. Space telescopes avoid such problems completely since they orbit outside the atmosphere. The Hubble Space Telescope is the best known space telescope.",they orbit outside the atmosphere,telescopes avoid such problems completely
85,79,Hubble began operations in 1994. Since then it has provided huge amounts of data. The telescope has helped astronomers answer many of the biggest questions in astronomy.,then it has provided huge amounts of data,Hubble began operations in 1994
86,79,Scientists are very interested in asteroids. Most are composed of material that has not changed since early in the solar system. Scientists can learn a lot from them about how the solar system formed.,early in the solar system. Scientists can learn a lot from them about how the solar system formed,Most are composed of material that has not changed
87,79,These fuels are rich sources of energy. Since they are mostly liquids they can be easily transported. These fuels provide about 90% of the energy used for transportation around the world.,they are mostly liquids they can be easily transported,These fuels are rich sources of energy
88,79,"Wegener suggested that Pangaea broke up long ago. Since then, the continents have been moving to their current positions. He called his hypothesis continental drift.","then, the continents have been moving to their current positions",Wegener suggested that Pangaea broke up long ago
89,79,"Not surprisingly, these methods resulted in wildly different estimates. A relatively good estimate was produced by the British geologist Charles Lyell, who thought that 240 million years had passed since the appearance of the first animals with shells. Today scientists know that this event occurred about 530 million years ago.",the appearance of the first animals with shells. Today scientists know that this event occurred about 530 million,had passed
90,79,"Natural resource use is generally lower in developing countries because people cannot afford many products. Some of these nations export natural resources to the developed world since their deposits may be richer and the cost of labor lower. Environmental regulations are often more lax, further lowering the cost of resource extraction.",their deposits may be richer and the cost of labor lower,Some of these nations export natural resources to the developed world
91,79,What came before the Big Bang? There is no way for scientists to know since there is no remaining evidence. ,there is no remaining evidence,There is no way for scientists to know
92,79,"This tiny amount of heat is left over from the Big Bang. Since nearly Images from very far away show what the universe was like not too long after the Big Bang. all astronomers now accept the Big Bang hypothesis, what is it usually referred to as?",nearly Images from very far away show what the universe was like not too long after the Big Bang,This tiny amount of heat is left over from the Big Bang
93,79,"In 2014, the atmospheric CO2 content had risen to around 400 ppm. The amount of CO2 in the atmosphere has been measured at Mauna Loa Obser-vatory since 1958. The blue line shows yearly averaged CO2.",1958. The blue line shows yearly averaged CO2,The amount of CO2 in the atmosphere has been measured at Mauna Loa Obser-vatory
94,79,"The red line shows seasonal variations in CO2. This is an increase in atmospheric CO2 of 40% since the before the Industrial Revolution. About 65% of that increase has occurred since the first CO2 measurements were made on Mauna Loa Volcano, Hawaii, in 1958.","the before the Industrial Revolution. About 65% of that increase has occurred since the first CO2 measurements were made on Mauna Loa Volcano, Hawaii, in 1958",This is an increase in atmospheric CO2 of 40%
95,79,"This is an increase in atmospheric CO2 of 40% since the before the Industrial Revolution. About 65% of that increase has occurred since the first CO2 measurements were made on Mauna Loa Volcano, Hawaii, in 1958. ","the first CO2 measurements were made on Mauna Loa Volcano, Hawaii, in 1958",About 65% of that increase has occurred
96,79,"When climate conditions in a small area are different from those of the surroundings, the climate of the small area is called a microclimate. The microclimate of a valley may be cool relative to its surroundings since cold air sinks. The ground surface may be hotter or colder than the air a few feet above it, because rock and soil gain and lose heat readily.","cold air sinks. The ground surface may be hotter or colder than the air a few feet above it, because rock and soil gain and lose heat readily",The microclimate of a valley may be cool relative to its surroundings
97,79,"Identical rocks, of the same type and age, are found on both sides of the Atlantic Ocean. Wegener said the rocks had formed side by side and that the land had since moved apart. Mountain ranges with the same rock types, structures, and ages are now on opposite sides of the Atlantic Ocean.",moved apart,Wegener said the rocks had formed side by side and that the land had
98,79,3. A key bed can be used like an index fossil since a key bed is a distinctive layer of rock that can be recognized across a large area. A volcanic ash unit could be a good key bed.,a key bed is a distinctive layer of rock that can be recognized across a large area,A key bed can be used like an index fossil
99,79,"Microfossils, which are fossils of microscopic organisms, are also useful index fossils. Fossils of animals that drifted in the upper layers of the ocean are particularly useful as index fossils, since they may be distributed over very large areas. A biostratigraphic unit, or biozone, is a geological rock layer that is defined by a single index fossil or a fossil assemblage.",they may be distributed over very large areas,Fossils of animals that drifted in the upper layers of the ocean are particularly useful as index fossils
100,79,"Before we develop some hypotheses, lets find a new question that we want to answer. What we just learned that atmospheric CO2 has been increasing at least since 1958. This leads us to ask this question: Why is atmospheric CO2 increasing?",1958. This leads us to ask this question: Why is atmospheric CO2 increasing,What we just learned that atmospheric CO2 has been increasing at least
101,79,"For example, they can trap and use fertilizer that has washed off a farmers field, and therefore they prevent that fertilizer from contaminating another body of water. Since wetlands naturally purify water, preserving wetlands also helps to maintain clean supplies of water. ","wetlands naturally purify water, preserving wetlands also helps to maintain clean supplies of water","For example, they can trap and use fertilizer that has washed off a farmers field, and therefore they prevent that fertilizer from contaminating another body of water"
102,79,"In the open-water zone, other plants and fish, such as bass and trout, live. The deep-water zone does not have photosynthesis since there is no sunlight. Most deep-water organisms are scavengers, such as crabs and catfish that feed on dead organisms that fall to the bottom of the lake.",there is no sunlight,The deep-water zone does not have photosynthesis
103,79,(b) The Boulder Glacier has melted back tremendously since 1985. Other mountain glaciers around the world are also melting.,1985. Other mountain glaciers around the world are also melting,The Boulder Glacier has melted back tremendously
104,79,"During the ice ages, water was frozen in glaciers and so land bridges such as the Bering Strait allowed humans to walk from the old world to the new world. DNA evidence suggests that the humans who migrated out of Africa interbred with Neanderthal since these people contain some Neanderthal DNA. Click image to the left or use the URL below.",these people contain some Neanderthal DNA,DNA evidence suggests that the humans who migrated out of Africa interbred with Neanderthal
105,79," The latitude mentioned above does not locate Old Faithful exactly, since a circle could be drawn that latitude north of the Equator. To locate Old Faithful we need another point-longitude.",a circle could be drawn that latitude north of the Equator,The latitude mentioned above does not locate Old Faithful exactly
106,79,"Massive eruptions of the fluid lavas that create lava plateaus release much more gas and dust, and can change climate for many years. This type of eruption is exceedingly rare; none has occurred since humans have lived on Earth. ",humans have lived on Earth,has occurred
107,79,The rules of topographic maps are: Each line connects all points of a specific elevation. Contour lines never cross since a single point can only have one elevation. Every fifth contour line is bolded and labeled.,a single point can only have one elevation,Contour lines never cross
108,79,"However, the Mariner 10 spacecraft, shown in Figure 1.1, visited Mercury from 1974 to 1975. The MESSENGER spacecraft has been studying Mercury in detail since 2005. The craft is currently in orbit around the planet, where it is creating detailed maps.","2005. The craft is currently in orbit around the planet, where it is creating detailed maps",The MESSENGER spacecraft has been studying Mercury in detail
109,79,"As a result, air pressure is very low (Figure 1.1). A person traveling through the mesosphere would experience severe burns from ultraviolet light since the ozone layer, which provides UV protection, is in the stratosphere below. There would be almost no oxygen for breathing.","the ozone layer, which provides UV protection, is in the stratosphere below",A person traveling through the mesosphere would experience severe burns from ultraviolet light
110,79,"The winds on Neptune are stronger than on any other planet in the solar system, reaching speeds of 1,100 km/h (700 mi/h), close to the speed of sound. This extreme weather surprised astronomers, since the planet receives little energy from the Sun to power weather systems. Neptunes core is 7000 C (12,632 C) which means that it produces more energy than it receives from the Sun.",the planet receives little energy from the Sun to power weather systems,This extreme weather surprised astronomers
111,79,"This image of Neptune was taken by Voy-ager 2 in 1989. The Great Dark Spot seen on the left center in the picture has since disappeared, but a similar dark spot has appeared on another part of the planet. In many respects, Neptune is similar to Uranus (Figure 1.2).","disappeared, but a similar dark spot has appeared on another part of the planet",The Great Dark Spot seen on the left center in the picture has
112,79," Hydrothermal vents are among the most unusual ecosystems on Earth since they are dependent on chemosynthetic organisms at the base of the food web. At mid-ocean ridges at hydrothermal vents, bacteria that use chemosyn-thesis for food energy are the base of a unique ecosystem (Figure 1.5).",they are dependent on chemosynthetic organisms at the base of the food web,Hydrothermal vents are among the most unusual ecosystems on Earth
113,79,"About 80% of the trash that ends up in the oceans is plastic. This is because a large amount of the trash produced since World War II is plastic. Also many types of plastic do not biodegrade, so they simply accumulate.",World War II is plastic,This is because a large amount of the trash produced
114,79,"This albatross likely died from the plastic it had ingested. The size of the garbage patch is unknown, since it cant be seen from above. Some people estimate that its twice the size of continental U.S, with a mass of 100 million tons.",it cant be seen from above,is unknown
115,79,"Organisms that photosynthesize depend on sunlight for food and so are restricted to the photic zone. Since tiny photosynthetic organisms, known as phytoplankton, supply nearly all of the energy and nutrients to the rest of the marine food web, most other marine organisms live in or at least visit the photic zone. In the aphotic zone there is not enough light for photosynthesis.","tiny photosynthetic organisms, known as phytoplankton, supply nearly all of the energy and nutrients to the rest of the marine food web, most other marine organisms live in or at least visit the photic zone",Organisms that photosynthesize depend on sunlight for food and so are restricted to the photic zone
116,79,"To speed the process up, BP has sprayed unprecedented amounts of chemical dispersants on the spill. That action did not receive support from the scientific community since no one knows the risks to people and the environment from such a large amount of these harmful chemicals. Some workers may have become ill from exposure to the chemicals.",no one knows the risks to people and the environment from such a large amount of these harmful chemicals,That action did not receive support from the scientific community
117,79,"CFCs were banned in spray cans in some nations in 1978. The greatest production of CFCs was in 1986, but it has declined since then. This will be discussed more in the next concept.",then. This will be discussed more in the next concept,"The greatest production of CFCs was in 1986, but it has declined"
118,79,"The law gives the EPA the authority to reduce the discharge of pollution into waterways, finance wastewater treatment plants, and manage runoff. Since its passage in 1972, more wastewater treatment plants have been constructed and the release of industrial waste into the water supply is better controlled. Scientists control water pollution by sam-pling the water and studying the pollutants that are in the water.","its passage in 1972, more wastewater treatment plants have been constructed and the release of industrial waste into the water supply is better","The law gives the EPA the authority to reduce the discharge of pollution into waterways, finance wastewater treatment plants, and manage runoff"
119,79,"More hazardous substances are phased out more quickly. CFCs have been mostly phased out since 1995, although were used in developing nations until 2010. Some of the less hazardous substances will not be phased out until 2030.","1995, although were used in developing nations until",CFCs have been mostly phased out
120,79," How can scientists know if a model designed to predict the future is likely to be accurate, since it may not be possible to wait long enough to see if the prediction comes true? One way is to run the model using a time in the past as the starting point see if the model can accurately predict the present.",it may not be possible to wait long enough to see if the prediction comes true,is likely to be accurate
121,79,"During its five-year mission, SDO will examine the Suns magnetic field and also provide a better understanding of the role the Sun plays in Earths atmospheric chemistry and climate. Since just after its launch on February 11, 2010, SDO is providing images with clarity 10 times better than high-definition television and will return more comprehensive science data faster than any other solar-observing spacecraft. The Solar Dynamics Observatory is a NASA spacecraft launched in early 2010 is obtaining IMAX-like images of the Sun every second of the day, generating more data than any NASA mission in history.","just after its launch on February 11, 2010, SDO is providing images with clarity 10","During its five-year mission, SDO will examine the Suns magnetic field and also provide a better understanding of the role the Sun plays in Earths atmospheric chemistry and climate"
122,79,"Notice that in the troposphere warmer air is beneath cooler air. This condition is unstable since warm air is less dense than cool air. The warm air near the surface rises and cool air higher in the troposphere sinks, so air in the troposphere does a lot of mixing.",warm air is less dense than cool air,This condition is unstable
123,79,Large tsunami in the Indian Ocean and more recently Japan have killed hundreds of thousands of people in recent years. The west coast is vulnerable to tsunami since it sits on the Pacific Ring of Fire. Scientists are trying to learn everything they can about predicting tsunamis before a massive one strikes a little closer to home.,it sits on the Pacific Ring of Fire,The west coast is vulnerable to tsunami
