,Unnamed: 0,context,answer,question,start_idx,end_idx,predicted_answer,score
25,25,"In the mid 1900s, people were startled to see the Cuyahoga River in Cleveland, Ohio, burst into flames! The river was so polluted with oil and other industrial wastes that it was flammable. Nothing could live in it.",it was flammable,"why was the cuyahoga river polluted with oil and other industrial wastes ?
",172,187,,0.0
26,26,"A temperature inversion over London, England, kept cold air and pollutants near the ground. The air became so polluted that thousands of people died in just a few days. This event was called the Big Smoke.",The air became so polluted,"why did thousands of people die in just a few days ?
",92,117,"a temperature inversion over london , england , kept cold air and pollutants near the ground .",0.125
27,27,"A temperature inversion over London, England, kept cold air and pollutants near the ground. The air became so polluted that thousands of people died in just a few days. This event was called the Big Smoke.",thousands of people died in just a few days,"why did the air become so polluted ?
",124,166,"a temperature inversion over london , england , kept cold air and pollutants near the ground . the air became so polluted that thousands of people died in just a few days . this event was called the big smoke . [SEP] why did the air become so polluted ? [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0.21333333333333335
28,28,With this information they could know when to plant crops. Stars were so important that the patterns they made in the sky were named. These patterns are called constellations.,Stars were so important,"why were the patterns they made in the sky named ?
",59,81,[CLS],0.0
29,29,With this information they could know when to plant crops. Stars were so important that the patterns they made in the sky were named. These patterns are called constellations.,the patterns they made in the sky were named,"why were stars so important ?
",88,131,[CLS],0.0
30,30,"A beam of light could travel from New York to Los Angeles and back again nearly 40 times in just one second. Even at that amazing rate, objects in space are so far away that it takes a lot of time for their light to reach us. Even light from the nearest star, our Sun, takes about 8 minutes to reach Earth.","Even at that amazing rate, objects in space are so far away","why does it take a lot of time for their light to reach us ?
",109,167,[CLS],0.0
31,31,"A beam of light could travel from New York to Los Angeles and back again nearly 40 times in just one second. Even at that amazing rate, objects in space are so far away that it takes a lot of time for their light to reach us. Even light from the nearest star, our Sun, takes about 8 minutes to reach Earth.",it takes a lot of time for their light to reach us,"why are objects in space so far away ?
",174,223,[CLS],0.0
32,32,"As Figure 25.8 shows, the surface of Mercury is covered with craters, like Earths Moon. The presence of impact craters that are so old means that Mercury hasnt changed much geologically for billions of years. With only a trace of an atmosphere, it has no weather to wear down the ancient craters.",The presence of impact craters that are so old,"why hasn ' t mercury changed much geologically for billions of years ?
",88,133,[CLS],0.0
33,33,"As Figure 25.8 shows, the surface of Mercury is covered with craters, like Earths Moon. The presence of impact craters that are so old means that Mercury hasnt changed much geologically for billions of years. With only a trace of an atmosphere, it has no weather to wear down the ancient craters.",Mercury hasnt changed much geologically for billions of years,"why are the impact craters on mercury so old ?
",146,206,[CLS],0.0
34,34,"They are made of carbon dioxide, sulfur dioxide and large amounts of corrosive sulfuric acid! The atmosphere of Venus is so thick that the pressure on the surface of Venus is very high. In fact, it is 90 times greater than the pressure at Earths surface!",The atmosphere of Venus is so thick,"why is the pressure on the surface of venus very high ?
",94,128,[CLS],0.0
35,35,"They are made of carbon dioxide, sulfur dioxide and large amounts of corrosive sulfuric acid! The atmosphere of Venus is so thick that the pressure on the surface of Venus is very high. In fact, it is 90 times greater than the pressure at Earths surface!",the pressure on the surface of Venus is very high,"why is the atmosphere of venus so thick ?
",135,183,[CLS],0.0
36,36,Europa is heated by Jupiter. Jupiters tidal forces are so great that they stretch and squash its moon. This could produce enough heat for there to be liquid water.,Jupiters tidal forces are so great,"why does europa stretch and squash its moon ?
",29,62,[CLS],0.0
37,37,Europa is heated by Jupiter. Jupiters tidal forces are so great that they stretch and squash its moon. This could produce enough heat for there to be liquid water.,they stretch and squash its moon,"why are jupiters tidal forces so great ?
",69,100,[CLS],0.0
38,38,"The shape of the orbit is like a long, narrow ellipse. Plutos orbit is so elliptical that sometimes it is inside the orbit of Neptune. Plutos orbit is in the Kuiper belt.",Plutos orbit is so elliptical,"why is plutos orbit sometimes inside the orbit of neptune ?
",55,83,[CLS],0.0
39,39,"The shape of the orbit is like a long, narrow ellipse. Plutos orbit is so elliptical that sometimes it is inside the orbit of Neptune. Plutos orbit is in the Kuiper belt.",sometimes it is inside the orbit of Neptune,"why is plutos orbit so elliptical ?
",90,132,[CLS],0.0
40,40,Both are very lightweight gases. A star contains so much hydrogen and helium that the weight of these gases is enormous. The pressure at the center of a star is great enough to heat the gases.,A star contains so much,"why is the weight of hydrogen and helium enormous ?
",33,55,[CLS],0.0
41,41,Both are very lightweight gases. A star contains so much hydrogen and helium that the weight of these gases is enormous. The pressure at the center of a star is great enough to heat the gases.,the weight of these gases is enormous,"what is the weight of hydrogen and helium in a star ?
",82,118,[CLS],0.0
42,42,"If the core remaining after a supernova is more than about 5 times the mass of the Sun, the core collapses to become a black hole. Black holes are so dense that not even light can escape their gravity. For that reason, we cant see black holes.",Black holes are so dense,"why can not even light escape their gravity ?
",131,154,[CLS],0.0
43,43,"If the core remaining after a supernova is more than about 5 times the mass of the Sun, the core collapses to become a black hole. Black holes are so dense that not even light can escape their gravity. For that reason, we cant see black holes.",not even light can escape their gravity,"why are black holes so dense ?
",161,199,[CLS],0.0
44,44,Rocks are made of minerals. The minerals may be so tiny that you can only see them with a microscope. The minerals may be really large.,The minerals may be so tiny,"why can ' t you see them with a microscope ?
",28,54,[CLS],0.0
45,45,Rocks are made of minerals. The minerals may be so tiny that you can only see them with a microscope. The minerals may be really large.,you can only see them with a microscope,"why are the minerals so tiny ?
",61,99,[CLS],0.0
46,46,Renewable resources can be replaced as quickly as they are used. Renewable resources may also be so abundant that running out is impossible. The difference between non-renewable and renewable resources is like the difference between ordinary batteries and rechargeable ones.,Renewable resources may also be so abundant,"why is running out impossible ?
",65,107,[CLS],0.0
47,47,Renewable resources can be replaced as quickly as they are used. Renewable resources may also be so abundant that running out is impossible. The difference between non-renewable and renewable resources is like the difference between ordinary batteries and rechargeable ones.,running out is impossible,"why can renewable resources be so abundant ?
",114,138,[CLS],0.0
48,48,"This makes a weak acid, called carbonic acid. This happens so often that carbonic acid is a common, weak acid found in nature. This acid works to dissolve rock.",This happens so often,"why is carbonic acid a common acid found in nature ?
",46,66,works to dissolve rock .,0.0
49,49,"This makes a weak acid, called carbonic acid. This happens so often that carbonic acid is a common, weak acid found in nature. This acid works to dissolve rock.","carbonic acid is a common, weak acid found in nature","why does this happen so often ?
",73,124,works to dissolve rock,0.0
50,50,"You also may have seen this if you put a can of soda into the freezer so that it cools down quickly. If you leave the can in the freezer too long, the liquid expands so much that it bends or pops the can. (For the record, water is very unusual.","If you leave the can in the freezer too long, the liquid expands so much","why does the can of soda bends or pops the can ?
",101,172,[CLS],0.0
51,51,"You also may have seen this if you put a can of soda into the freezer so that it cools down quickly. If you leave the can in the freezer too long, the liquid expands so much that it bends or pops the can. (For the record, water is very unusual.",it bends or pops the can,"what happens if you leave the can in the freezer too long ?
",179,202,[CLS],0.0
52,52,"Limestone in the midwestern United States protects the area. One reason that the northeastern United States is so vulnerable to acid rain damage is that the rocks are not carbonates. Because pollutants can travel so far, much of the acid rain that falls hurts states or nations other than ones where the pollutants were released.",One reason that the northeastern United States is so vulnerable,"why are the rocks not carbonates ?
",61,123,[CLS],0.0
53,53,"Limestone in the midwestern United States protects the area. One reason that the northeastern United States is so vulnerable to acid rain damage is that the rocks are not carbonates. Because pollutants can travel so far, much of the acid rain that falls hurts states or nations other than ones where the pollutants were released.",the rocks are not carbonates,"why is the northeastern united states so vulnerable to acid rain damage ?
",153,180,[CLS],0.0
54,54,"One reason that the northeastern United States is so vulnerable to acid rain damage is that the rocks are not carbonates. Because pollutants can travel so far, much of the acid rain that falls hurts states or nations other than ones where the pollutants were released. All the rain that falls in Sweden is acidic and fish in lakes all over the country are dying.",Because pollutants can travel so far,"why does much of the acid rain that falls hurts states or nations other than ones where the pollutants were released ?
",122,157,,0.0
55,55,"One reason that the northeastern United States is so vulnerable to acid rain damage is that the rocks are not carbonates. Because pollutants can travel so far, much of the acid rain that falls hurts states or nations other than ones where the pollutants were released. All the rain that falls in Sweden is acidic and fish in lakes all over the country are dying.",falls hurts states or nations other than ones where the pollutants were released,"why does much of the acid rain that falls so far hurt ?
",187,266,,0.0
56,56,"Non-renewable resources vary in their availability; some are very abundant and others are rare. Materials, such as gravel or sand, are technically non-renewable, but they are so abundant that running out is no issue. Some resources are truly limited in quantity: when they are gone, they are gone, and something must be found that will replace them.","Materials, such as gravel or sand, are technically non-renewable, but they are so abundant","why is running out of resources not an issue ?
",96,185,[CLS],0.0
57,57,"Non-renewable resources vary in their availability; some are very abundant and others are rare. Materials, such as gravel or sand, are technically non-renewable, but they are so abundant that running out is no issue. Some resources are truly limited in quantity: when they are gone, they are gone, and something must be found that will replace them.",running out is no issue,"why are materials such as gravel or sand so abundant ?
",192,214,"[CLS] non - renewable resources vary in their availability ; some are very abundant and others are rare . materials , such as gravel or sand , are technically non - renewable , but they are so abundant that running out is no issue",0.2380952380952381
58,58,"Besides abundance, a resources value is determined by how easy it is to locate and extract. If a resource is difficult to use, it will not be used until the price for that resource becomes so great that it is worth paying for. For example, the oceans are filled with an abundant supply of water, but desalination is costly, so it is used only where water is really limited (Figure 1.1).","If a resource is difficult to use, it will not be used until the price for that resource becomes so great","why is a resource value determined by how easy to locate and extract ?
",92,196,[CLS],0.0
59,59,"Besides abundance, a resources value is determined by how easy it is to locate and extract. If a resource is difficult to use, it will not be used until the price for that resource becomes so great that it is worth paying for. For example, the oceans are filled with an abundant supply of water, but desalination is costly, so it is used only where water is really limited (Figure 1.1).",it is worth paying for,"if a resource is difficult to use , it will not be used until the price for that resource becomes so great that it becomes what ?
",203,224,worth paying for,0.7499999999999999
60,60,"Earth was so hot for three reasons: Gravitational contraction: As small bodies of rock and metal accreted, the planet grew larger and more massive. Gravity within such an enormous body squeezes the material in its interior so hard that the pressure swells. As Earths internal pressure grew, its temperature also rose.",Gravity within such an enormous body squeezes the material in its interior so hard,"why did the pressure swell ?
",148,229,[CLS],0.0
61,61,"Earth was so hot for three reasons: Gravitational contraction: As small bodies of rock and metal accreted, the planet grew larger and more massive. Gravity within such an enormous body squeezes the material in its interior so hard that the pressure swells. As Earths internal pressure grew, its temperature also rose.",the pressure swells,"what happens when gravity squeezes the material in the interior so hard ?
",236,254,[CLS],0.0
62,62,Ancient impact craters found on the Moon and inner planets indicate that asteroid impacts were common in the early solar system. Earth was struck so much in its first 500 million years that the heat was intense. Very few large objects have struck the planet in the past many hundreds of millions of year.,Earth was struck so much,"why was the heat intense in the first 500 million years ?
",129,152,[CLS],0.0
63,63,Ancient impact craters found on the Moon and inner planets indicate that asteroid impacts were common in the early solar system. Earth was struck so much in its first 500 million years that the heat was intense. Very few large objects have struck the planet in the past many hundreds of millions of year.,the heat was intense,"why was earth struck so much in its first 500 million years ?
",190,209,[CLS],0.0
64,64,Intense heat from the early core drove rapid and vigorous mantle convection so that crust quickly recycled into the mantle. The recycling of basaltic crust was so effective that no remnants of it are found today. ,The recycling of basaltic crust was so effective,"why are no remnants of it found today ?
",124,171,[CLS],0.0
65,65,Intense heat from the early core drove rapid and vigorous mantle convection so that crust quickly recycled into the mantle. The recycling of basaltic crust was so effective that no remnants of it are found today. ,no remnants of it are found today,"what was the result of the recycling of basaltic crust ?
",178,210,[CLS],0.0
66,66,"Over time, layer upon layer of these remains accumulated. Eventually, the layers were buried so deeply that they were crushed by an enormous mass of earth. The weight of this earth pressing down on these plant and animal remains created intense heat and pressure.","Eventually, the layers were buried so deeply","why were the layers crushed by an enormous mass of earth ?
",58,101,intense heat and pressure,0.0
67,67,"Over time, layer upon layer of these remains accumulated. Eventually, the layers were buried so deeply that they were crushed by an enormous mass of earth. The weight of this earth pressing down on these plant and animal remains created intense heat and pressure.",they were crushed by an enormous mass of earth,"why were the layers buried so deeply ?
",108,153,intense heat and pressure,0.0
68,68,"Whether an ice field moves or not depends on the amount of ice in the field, the steepness of the slope and the roughness of the ground surface. Ice moves where the pressure is so great that it undergoes plastic flow. Ice also slides at the bottom, often lubricated by water that has melted and travels between the ground and the ice.",Ice moves where the pressure is so great,"where does ice undergo plastic flow ?
",145,184,[CLS],0.0
69,69,"Whether an ice field moves or not depends on the amount of ice in the field, the steepness of the slope and the roughness of the ground surface. Ice moves where the pressure is so great that it undergoes plastic flow. Ice also slides at the bottom, often lubricated by water that has melted and travels between the ground and the ice.",it undergoes plastic flow,"why does ice move where the pressure is so great ?
",191,215,[CLS],0.0
70,70,"The passageway traps the heated water underground, so that heat and pressure can build. Eventually, the pressure grows so great that the superheated water bursts out onto the surface to create a geyser. Figure 1.2.","Eventually, the pressure grows so great","why does the superheated water burst out onto the surface to create a geyser ?
",88,126,[CLS],0.0
71,71,"The passageway traps the heated water underground, so that heat and pressure can build. Eventually, the pressure grows so great that the superheated water bursts out onto the surface to create a geyser. Figure 1.2.",the superheated water bursts out onto the surface to create a geyser,"what happens when the pressure grows so great ?
",133,200,"[CLS] the passageway traps the heated water underground , so that heat and pressure can build . eventually , the pressure grows so great that the superheated water bursts out onto the surface to create a geyser",0.4864864864864865
72,72,"Ice wedging works quickly, breaking apart rocks in areas with temperatures that cycle above and below freezing in the day and night, and also that cycle above and below freezing with the seasons. Ice wedging breaks apart so much rock that large piles of broken rock are seen at the base of a hillside, as rock fragments separate and tumble down. Ice wedging is common in Earths polar regions and mid latitudes, and also at higher elevations, such as in the mountains.",Ice wedging breaks apart so much,"why are large piles of broken rock seen at the base of a hillside ?
",196,227,[CLS],0.0
73,73,"Ice wedging works quickly, breaking apart rocks in areas with temperatures that cycle above and below freezing in the day and night, and also that cycle above and below freezing with the seasons. Ice wedging breaks apart so much rock that large piles of broken rock are seen at the base of a hillside, as rock fragments separate and tumble down. Ice wedging is common in Earths polar regions and mid latitudes, and also at higher elevations, such as in the mountains.","large piles of broken rock are seen at the base of a hillside, as rock fragments separate and tumble down","what happens when ice wedging breaks apart so much rock ?
",239,343,"large piles of broken rock are seen at the base of a hillside , as rock fragments separate and tumble down",1.0
74,74,"From about 3.0 to 3.5 billion years ago the Moon was continually bombarded by meteorites. Some of these meteorites were so large that they broke through the Moons newly formed surface. Then, magma flowed out and filled the craters.",Some of these meteorites were so large,"why did some meteorites break through the moon ' s newly formed surface ?
",90,127,[CLS],0.0
75,75,"From about 3.0 to 3.5 billion years ago the Moon was continually bombarded by meteorites. Some of these meteorites were so large that they broke through the Moons newly formed surface. Then, magma flowed out and filled the craters.",they broke through the Moons newly formed surface,"why were some of these meteorites so large ?
",134,182,[CLS],0.0
76,76,"Certainly no one today doubts that Earth orbits a star, the Sun. Photos taken from space, observations made by astronauts, and the fact that there has been so much successful space exploration that depends on understanding the structure of the solar system all confirm it. But in the early 17th century saying that Earth orbited the Sun rather than the reverse could get you tried for heresy, as it did Galileo.","Photos taken from space, observations made by astronauts, and the fact that there has been so much","what confirm that earth orbits a star , the sun ?
",65,162,[CLS],0.0
77,77,"Certainly no one today doubts that Earth orbits a star, the Sun. Photos taken from space, observations made by astronauts, and the fact that there has been so much successful space exploration that depends on understanding the structure of the solar system all confirm it. But in the early 17th century saying that Earth orbited the Sun rather than the reverse could get you tried for heresy, as it did Galileo.",depends on understanding the structure of the solar system all confirm it,"why has there been so much successful space exploration ?
",198,270,[CLS],0.0
78,78,"This circle moves around Earth in a larger circle, called a deferent. Ptolemys version of the geocentric model worked so well that it remained the accepted model of the universe for more than a thousand years. ",Ptolemys version of the geocentric model worked so well,"why did it remain the accepted model of the universe for more than a thousand years ?
",70,124,[CLS],0.0
79,79,"This circle moves around Earth in a larger circle, called a deferent. Ptolemys version of the geocentric model worked so well that it remained the accepted model of the universe for more than a thousand years. ",it remained the accepted model of the universe for more than a thousand years,"why did ptolemy ' s version of the geocentric model work so well ?
",131,207,[CLS],0.0
80,80,"Rocks are made of minerals. The mineral grains in a rock may be so tiny that you can only see them with a microscope, or they may be as big as your fingernail or even your finger (Figure Rocks are identified primarily by the minerals they contain and by their texture.",The mineral grains in a rock may be so tiny,"why can you only see them with a microscope ?
",28,70,[CLS],0.0
81,81,"Rocks are made of minerals. The mineral grains in a rock may be so tiny that you can only see them with a microscope, or they may be as big as your fingernail or even your finger (Figure Rocks are identified primarily by the minerals they contain and by their texture.","you can only see them with a microscope, or they may be as big as your fingernail or even your finger","why are the mineral grains in a rock so tiny ?
",77,177,[CLS],0.0
82,82," Stars are made mostly of hydrogen and helium, which are packed so densely in a star that in the stars center the pressure is great enough to initiate nuclear fusion reactions. In a nuclear fusion reaction, the nuclei of two atoms combine to create a new atom.","Stars are made mostly of hydrogen and helium, which are packed so densely","why is the pressure in the stars center great enough to initiate nuclear fusion reactions ?
",1,73,[CLS],0.0
83,83," Stars are made mostly of hydrogen and helium, which are packed so densely in a star that in the stars center the pressure is great enough to initiate nuclear fusion reactions. In a nuclear fusion reaction, the nuclei of two atoms combine to create a new atom.",in the stars center the pressure is great enough to initiate nuclear fusion reactions,"why are hydrogen and helium packed so densely in a star ?
",90,174,[CLS],0.0
84,84,This creates a huge hole or caldera into which the surface collapses (Figure 1.1). The caldera at Santorini in Greece is so large that it can only be seen by satellite. ,The caldera at Santorini in Greece is so large,"why can ' t it be seen by satellite ?
",83,128,[CLS],0.0
85,85,This creates a huge hole or caldera into which the surface collapses (Figure 1.1). The caldera at Santorini in Greece is so large that it can only be seen by satellite. ,it can only be seen by satellite,"why is the caldera at santorini in greece so large ?
",135,166,[CLS],0.0
86,86,A supervolcano could change life on Earth as we know it. Ash could block sunlight so much that photosynthesis would be reduced and global temperatures would plummet. Volcanic eruptions could have contributed to some of the mass extinctions in our planets history.,Ash could block sunlight so much,"why would photosynthesis be reduced and global temperatures plummet ?
",57,88,,0.0
87,87,A supervolcano could change life on Earth as we know it. Ash could block sunlight so much that photosynthesis would be reduced and global temperatures would plummet. Volcanic eruptions could have contributed to some of the mass extinctions in our planets history.,photosynthesis would be reduced and global temperatures would plummet,"for what purpose would ash block sunlight so much ?
",95,163,,0.0
88,88,"One cannot see stellar parallax with the naked-eye, so Aristotle concluded that the earth must be at rest. (The stars are so far away, that one needs a good telescope to measure stellar parallax, which was first measured in 1838.) Aristotle believed that the objects in the heavens are perfect and unchanging.",(The stars are so far away,"why does one need a good telescope to measure stellar parallax ?
",107,132,,0.0
89,89,"One cannot see stellar parallax with the naked-eye, so Aristotle concluded that the earth must be at rest. (The stars are so far away, that one needs a good telescope to measure stellar parallax, which was first measured in 1838.) Aristotle believed that the objects in the heavens are perfect and unchanging.","one needs a good telescope to measure stellar parallax, which was first measured in 1838","why are the stars so far away ?
",140,227,[CLS],0.0
90,90," The density of molecules is so low in the thermosphere that one gas molecule can go about 1 km before it collides with another molecule. Since so little energy is transferred, the air feels very cold",The density of molecules is so low,"why can one gas molecule go about 1 km before it collides with another molecule ?
",1,34,[CLS],0.0
91,91," The density of molecules is so low in the thermosphere that one gas molecule can go about 1 km before it collides with another molecule. Since so little energy is transferred, the air feels very cold",one gas molecule can go about 1 km before it collides with another molecule,"why is the density of molecules so low in the thermosphere ?
",61,135,[CLS],0.0
92,92," There is no real outer limit to the exosphere, the outermost layer of the atmosphere; the gas molecules finally become so scarce that at some point there are no more. Beyond the atmosphere is the solar wind.","There is no real outer limit to the exosphere, the outermost layer of the atmosphere; the gas molecules finally become so scarce","why are there no more gas molecules in the atmosphere ?
",1,128,[CLS],0.0
93,93," There is no real outer limit to the exosphere, the outermost layer of the atmosphere; the gas molecules finally become so scarce that at some point there are no more. Beyond the atmosphere is the solar wind.",at some point there are no more,"at what point do the gas molecules finally become so scarce ?
",135,165,[CLS],0.0
94,94,"Uranus (YOOR-uh-nuhs) is named for the Greek god of the sky. From Earth, Uranus is so faint that it was unnoticed by ancient observers. William Herschel first discovered the planet in 1781.","From Earth, Uranus is so faint","why was uranus unnoticed by ancient observers ?
",61,90,[CLS],0.0
95,95,"Uranus (YOOR-uh-nuhs) is named for the Greek god of the sky. From Earth, Uranus is so faint that it was unnoticed by ancient observers. William Herschel first discovered the planet in 1781.",it was unnoticed by ancient observers,"why was uranus so faint from earth ?
",97,133,[CLS],0.0
96,96,"URL: The atmosphere of Venus is so thick that the atmospheric pressure on the planets surface is 90 times greater than the atmospheric pressure on Earths surface. The dense atmosphere totally obscures the surface of Venus, even from spacecraft orbiting the planet.",The atmosphere of Venus is so thick,"why is the atmospheric pressure on the planets surface 90 times greater than on earths surface ?
",5,39,[CLS],0.0
97,97,"URL: The atmosphere of Venus is so thick that the atmospheric pressure on the planets surface is 90 times greater than the atmospheric pressure on Earths surface. The dense atmosphere totally obscures the surface of Venus, even from spacecraft orbiting the planet.",the atmospheric pressure on the planets surface is 90 times greater than the atmospheric pressure on Earths surface,"why is the atmosphere of venus so thick ?
",46,160,[CLS],0.0
98,98,"The deeper water of a lake makes up the profundal zone. There isnt enough light for photosynthesis in this zone, so most organisms here eat dead organisms that drift down from the water above. Organisms in the profundal zone may include clams, snails, and some species of fish.","There isnt enough light for photosynthesis in this zone, so most","why do organisms in the profundal zone eat dead organisms that drift down from the water above ?
",56,119,isnt enough light for photosynthesis,0.625
99,99,"The deeper water of a lake makes up the profundal zone. There isnt enough light for photosynthesis in this zone, so most organisms here eat dead organisms that drift down from the water above. Organisms in the profundal zone may include clams, snails, and some species of fish.",drift down from the water above,"why do most organisms in the profundal zone eat dead organisms ?
",160,190,there isnt enough light for photosynthesis,0.0
100,100,"They represent very early life stages of a chicken, turtle, pig, and human being. The embryos look so similar that its hard to tell them apart. Such similarities provide evidence that all four types of animals are related.",The embryos look so similar,"why is it hard to tell them apart ?
",82,108,,0.0
101,101,"They represent very early life stages of a chicken, turtle, pig, and human being. The embryos look so similar that its hard to tell them apart. Such similarities provide evidence that all four types of animals are related.",its hard to tell them apart,"why do the embryos look so similar ?
",115,141,evidence that all four types of animals are related,0.0
102,102,"Atoms are the building block of all of the elements that make up the matter in your body or any other living or non-living thing. Atoms are so small that only the most powerful microscopes can see them. Atoms themselves are composed of even smaller particles, including positively charged protons, uncharged neu-trons, and negatively charged electrons.",Atoms are so small,"why can only the most powerful microscopes see atoms ?
",130,147,[CLS],0.0
