,Unnamed: 0,Unnamed: 0.1,PatternID,Text,Cause,Effect,cause_question,effect_question
10,10,10,82,"Figure 18.14 shows a pond covered with algae. Algae may use up so much oxygen in the water that nothing else can grow. Soon, even the algae die out.",Algae may use up so much,nothing else can grow,"why can nothing else grow in the water ?
","what happens when algae use up so much oxygen in the water ?
"
11,11,11,82,"In some parts of the world, raw sewage and trash may be thrown into the water (see Figure 21.12). Coastal water may become so polluted that people get sick if they swim in it or eat seafood from it. The polluted water may also kill fish and other ocean life.",Coastal water may become so polluted,people get sick if they swim in it or eat seafood from it,"why do people get sick if they swim in it or eat seafood from it ?
","why may coastal water become so polluted ?
"
12,12,12,82,"In the mid 1900s, people were startled to see the Cuyahoga River in Cleveland, Ohio, burst into flames! The river was so polluted with oil and other industrial wastes that it was flammable. Nothing could live in it.",The river was so polluted,it was flammable,"why did the cuyahoga burst into flames ?
","why did the cuyahoga river burst into flames ?
"
13,13,13,82,"A temperature inversion over London, England, kept cold air and pollutants near the ground. The air became so polluted that thousands of people died in just a few days. This event was called the Big Smoke.",The air became so polluted,thousands of people died in just a few days,"why did thousands of people die in just a few days ?
","what happened when the air became so polluted ?
"
14,14,14,82,With this information they could know when to plant crops. Stars were so important that the patterns they made in the sky were named. These patterns are called constellations.,Stars were so important,the patterns they made in the sky were named,"why were the patterns in the sky named ?
","why were stars so important ?
"
15,15,15,82,"A beam of light could travel from New York to Los Angeles and back again nearly 40 times in just one second. Even at that amazing rate, objects in space are so far away that it takes a lot of time for their light to reach us. Even light from the nearest star, our Sun, takes about 8 minutes to reach Earth.","Even at that amazing rate, objects in space are so far away",it takes a lot of time for their light to reach us,"why does it take a lot of time for light to reach us ?
","why are objects in space so far away ?
"
16,16,16,82,"As Figure 25.8 shows, the surface of Mercury is covered with craters, like Earths Moon. The presence of impact craters that are so old means that Mercury hasnt changed much geologically for billions of years. With only a trace of an atmosphere, it has no weather to wear down the ancient craters.",The presence of impact craters that are so old,Mercury hasnt changed much geologically for billions of years,"why has mercury not changed much geologically for billions of years ?
","why are the craters on mercury so old ?
"
17,17,17,82,"They are made of carbon dioxide, sulfur dioxide and large amounts of corrosive sulfuric acid! The atmosphere of Venus is so thick that the pressure on the surface of Venus is very high. In fact, it is 90 times greater than the pressure at Earths surface!",The atmosphere of Venus is so thick,the pressure on the surface of Venus is very high,"why is the pressure on the surface of venus very high ?
","why is the atmosphere of venus so thick ?
"
18,18,18,82,Europa is heated by Jupiter. Jupiters tidal forces are so great that they stretch and squash its moon. This could produce enough heat for there to be liquid water.,Jupiters tidal forces are so great,they stretch and squash its moon,"why does europa stretch and squash its moon ?
","what happens to the moon when jupiter ' s tidal forces are great ?
"
19,19,19,82,"The shape of the orbit is like a long, narrow ellipse. Plutos orbit is so elliptical that sometimes it is inside the orbit of Neptune. Plutos orbit is in the Kuiper belt.",Plutos orbit is so elliptical,sometimes it is inside the orbit of Neptune,"why is plutos orbit sometimes inside the orbit of neptune ?
","why is plutos orbit so elliptical ?
"
20,20,21,82,Both are very lightweight gases. A star contains so much hydrogen and helium that the weight of these gases is enormous. The pressure at the center of a star is great enough to heat the gases.,A star contains so much,the weight of these gases is enormous,"why is the weight of hydrogen and helium enormous ?
","what happens to the weight of hydrogen and helium in a star ?
"
21,21,22,82,"If the core remaining after a supernova is more than about 5 times the mass of the Sun, the core collapses to become a black hole. Black holes are so dense that not even light can escape their gravity. For that reason, we cant see black holes.",Black holes are so dense,not even light can escape their gravity,"why can ' t light escape the gravity of black holes ?
","why are black holes so dense ?
"
22,22,23,82,Rocks are made of minerals. The minerals may be so tiny that you can only see them with a microscope. The minerals may be really large.,The minerals may be so tiny,you can only see them with a microscope,"why can you only see the minerals with a microscope ?
","why are the minerals so tiny ?
"
23,23,24,82,Renewable resources can be replaced as quickly as they are used. Renewable resources may also be so abundant that running out is impossible. The difference between non-renewable and renewable resources is like the difference between ordinary batteries and rechargeable ones.,Renewable resources may also be so abundant,running out is impossible,"why is it impossible to run out of resources ?
","what happens when renewable resources are so abundant ?
"
24,24,25,82,"This makes a weak acid, called carbonic acid. This happens so often that carbonic acid is a common, weak acid found in nature. This acid works to dissolve rock.",This happens so often,"carbonic acid is a common, weak acid found in nature","why is carbonic acid common ?
","why is carbonic acid so common ?
"
25,25,26,82,"You also may have seen this if you put a can of soda into the freezer so that it cools down quickly. If you leave the can in the freezer too long, the liquid expands so much that it bends or pops the can. (For the record, water is very unusual.","If you leave the can in the freezer too long, the liquid expands so much",it bends or pops the can,"what happens when you put a can of soda in the freezer too long ?
","what happens if you leave the can in the freezer too long ?
"
26,26,27,82,"Limestone in the midwestern United States protects the area. One reason that the northeastern United States is so vulnerable to acid rain damage is that the rocks are not carbonates. Because pollutants can travel so far, much of the acid rain that falls hurts states or nations other than ones where the pollutants were released.",One reason that the northeastern United States is so vulnerable,the rocks are not carbonates,"why are the rocks not carbonates ?
","why is the northeastern united states so vulnerable to acid rain damage ?
"
27,27,28,82,"One reason that the northeastern United States is so vulnerable to acid rain damage is that the rocks are not carbonates. Because pollutants can travel so far, much of the acid rain that falls hurts states or nations other than ones where the pollutants were released. All the rain that falls in Sweden is acidic and fish in lakes all over the country are dying.",Because pollutants can travel so far,falls hurts states or nations other than ones where the pollutants were released,"why does much of the acid rain that falls hurts states or nations other than ones where the pollutants were released ?
","why is much of the acid rain that falls so far ?
"
28,28,29,82,"Non-renewable resources vary in their availability; some are very abundant and others are rare. Materials, such as gravel or sand, are technically non-renewable, but they are so abundant that running out is no issue. Some resources are truly limited in quantity: when they are gone, they are gone, and something must be found that will replace them.","Materials, such as gravel or sand, are technically non-renewable, but they are so abundant",running out is no issue,"why is running out of resources an issue ?
","why are non - renewable materials so abundant ?
"
29,29,30,82,"Besides abundance, a resources value is determined by how easy it is to locate and extract. If a resource is difficult to use, it will not be used until the price for that resource becomes so great that it is worth paying for. For example, the oceans are filled with an abundant supply of water, but desalination is costly, so it is used only where water is really limited (Figure 1.1).","If a resource is difficult to use, it will not be used until the price for that resource becomes so great",it is worth paying for,"what happens when a resource is difficult to use ?
","what happens when the price for a resource becomes too great to be used ?
"
30,30,31,82,"Earth was so hot for three reasons: Gravitational contraction: As small bodies of rock and metal accreted, the planet grew larger and more massive. Gravity within such an enormous body squeezes the material in its interior so hard that the pressure swells. As Earths internal pressure grew, its temperature also rose.",Gravity within such an enormous body squeezes the material in its interior so hard,the pressure swells,"why did the pressure swell on earth ?
","what happens when gravity squeezes the material in the interior so hard ?
"
31,31,32,82,Ancient impact craters found on the Moon and inner planets indicate that asteroid impacts were common in the early solar system. Earth was struck so much in its first 500 million years that the heat was intense. Very few large objects have struck the planet in the past many hundreds of millions of year.,Earth was struck so much,the heat was intense,"why was the heat so intense in the first 500 million years ?
","why was earth struck so much in its first 500 million years ?
"
32,32,33,82,Intense heat from the early core drove rapid and vigorous mantle convection so that crust quickly recycled into the mantle. The recycling of basaltic crust was so effective that no remnants of it are found today. ,The recycling of basaltic crust was so effective,no remnants of it are found today,"why are no remnants of it found today ?
","why was the recycling of basaltic crust so effective ?
"
33,33,34,82,"Over time, layer upon layer of these remains accumulated. Eventually, the layers were buried so deeply that they were crushed by an enormous mass of earth. The weight of this earth pressing down on these plant and animal remains created intense heat and pressure.","Eventually, the layers were buried so deeply",they were crushed by an enormous mass of earth,"why were these remains crushed by an enormous mass of earth ?
","what happened to the layers of plant and animal remains ?
"
34,34,35,82,"Whether an ice field moves or not depends on the amount of ice in the field, the steepness of the slope and the roughness of the ground surface. Ice moves where the pressure is so great that it undergoes plastic flow. Ice also slides at the bottom, often lubricated by water that has melted and travels between the ground and the ice.",Ice moves where the pressure is so great,it undergoes plastic flow,"why does ice undergo plastic flow ?
","why does ice move when the pressure is so great ?
"
35,35,36,82,"The passageway traps the heated water underground, so that heat and pressure can build. Eventually, the pressure grows so great that the superheated water bursts out onto the surface to create a geyser. Figure 1.2.","Eventually, the pressure grows so great",the superheated water bursts out onto the surface to create a geyser,"what happens to the superheated water that bursts out onto the surface ?
","what happens when the pressure grows so great ?
"
36,36,37,82,"Ice wedging works quickly, breaking apart rocks in areas with temperatures that cycle above and below freezing in the day and night, and also that cycle above and below freezing with the seasons. Ice wedging breaks apart so much rock that large piles of broken rock are seen at the base of a hillside, as rock fragments separate and tumble down. Ice wedging is common in Earths polar regions and mid latitudes, and also at higher elevations, such as in the mountains.",Ice wedging breaks apart so much,"large piles of broken rock are seen at the base of a hillside, as rock fragments separate and tumble down","why are large piles of broken rock seen at the base of a hillside ?
","what happens when ice wedging breaks apart so much rock ?
"
37,37,38,82,"From about 3.0 to 3.5 billion years ago the Moon was continually bombarded by meteorites. Some of these meteorites were so large that they broke through the Moons newly formed surface. Then, magma flowed out and filled the craters.",Some of these meteorites were so large,they broke through the Moons newly formed surface,"why did some of the meteorites break through the moon ' s surface ?
","what happened to some of the meteorites that hit the moon ?
"
38,38,39,82,"Certainly no one today doubts that Earth orbits a star, the Sun. Photos taken from space, observations made by astronauts, and the fact that there has been so much successful space exploration that depends on understanding the structure of the solar system all confirm it. But in the early 17th century saying that Earth orbited the Sun rather than the reverse could get you tried for heresy, as it did Galileo.","Photos taken from space, observations made by astronauts, and the fact that there has been so much",depends on understanding the structure of the solar system all confirm it,"why does no one doubt that earth orbits a star , the sun ?
","why is there so much successful space exploration ?
"
39,39,40,82,"This circle moves around Earth in a larger circle, called a deferent. Ptolemys version of the geocentric model worked so well that it remained the accepted model of the universe for more than a thousand years. ",Ptolemys version of the geocentric model worked so well,it remained the accepted model of the universe for more than a thousand years,"why did it remain the accepted model of the universe for more than a thousand years ?
","why did ptolemys geocentric model work so well ?
"
40,40,41,82,"Rocks are made of minerals. The mineral grains in a rock may be so tiny that you can only see them with a microscope, or they may be as big as your fingernail or even your finger (Figure Rocks are identified primarily by the minerals they contain and by their texture.",The mineral grains in a rock may be so tiny,"you can only see them with a microscope, or they may be as big as your fingernail or even your finger","why can ' t you see them with a microscope ?
","why are the mineral grains in a rock so tiny ?
"
41,41,42,82," Stars are made mostly of hydrogen and helium, which are packed so densely in a star that in the stars center the pressure is great enough to initiate nuclear fusion reactions. In a nuclear fusion reaction, the nuclei of two atoms combine to create a new atom.","Stars are made mostly of hydrogen and helium, which are packed so densely",in the stars center the pressure is great enough to initiate nuclear fusion reactions,"why is the pressure in the stars center great enough to initiate nuclear fusion reactions ?
","why are hydrogen and helium packed so densely in a star ?
"
42,42,43,82,This creates a huge hole or caldera into which the surface collapses (Figure 1.1). The caldera at Santorini in Greece is so large that it can only be seen by satellite. ,The caldera at Santorini in Greece is so large,it can only be seen by satellite,"why can ' t it be seen by satellite ?
","why is the caldera at santorini so large ?
"
43,43,44,82,A supervolcano could change life on Earth as we know it. Ash could block sunlight so much that photosynthesis would be reduced and global temperatures would plummet. Volcanic eruptions could have contributed to some of the mass extinctions in our planets history.,Ash could block sunlight so much,photosynthesis would be reduced and global temperatures would plummet,"why would photosynthesis be reduced in a supervolcano ?
","what would happen if a supervolcano blocks sunlight so much that it blocks sunlight ?
"
44,44,46,82,"One cannot see stellar parallax with the naked-eye, so Aristotle concluded that the earth must be at rest. (The stars are so far away, that one needs a good telescope to measure stellar parallax, which was first measured in 1838.) Aristotle believed that the objects in the heavens are perfect and unchanging.",(The stars are so far away,"one needs a good telescope to measure stellar parallax, which was first measured in 1838","why did aristotle believe that the earth must be at rest ?
","why are the stars so far away ?
"
45,45,47,82," The density of molecules is so low in the thermosphere that one gas molecule can go about 1 km before it collides with another molecule. Since so little energy is transferred, the air feels very cold",The density of molecules is so low,one gas molecule can go about 1 km before it collides with another molecule,"why can one gas molecule go about 1 km before it collides with another molecule ?
","why is the density of molecules so low in the thermosphere ?
"
46,46,48,82," There is no real outer limit to the exosphere, the outermost layer of the atmosphere; the gas molecules finally become so scarce that at some point there are no more. Beyond the atmosphere is the solar wind.","There is no real outer limit to the exosphere, the outermost layer of the atmosphere; the gas molecules finally become so scarce",at some point there are no more,"why is there no limit to the exosphere ?
","what happens when the gas molecules become so scarce ?
"
47,47,49,82,"Uranus (YOOR-uh-nuhs) is named for the Greek god of the sky. From Earth, Uranus is so faint that it was unnoticed by ancient observers. William Herschel first discovered the planet in 1781.","From Earth, Uranus is so faint",it was unnoticed by ancient observers,"why was uranus unnoticed by ancient observers ?
","why was uranus so faint from earth ?
"
48,48,50,82,"URL: The atmosphere of Venus is so thick that the atmospheric pressure on the planets surface is 90 times greater than the atmospheric pressure on Earths surface. The dense atmosphere totally obscures the surface of Venus, even from spacecraft orbiting the planet.",The atmosphere of Venus is so thick,the atmospheric pressure on the planets surface is 90 times greater than the atmospheric pressure on Earths surface,"why is the atmospheric pressure on the planets surface 90 times greater than on earths surface ?
","why is the atmosphere of venus so thick ?
"
49,49,52,82,"The deeper water of a lake makes up the profundal zone. There isnt enough light for photosynthesis in this zone, so most organisms here eat dead organisms that drift down from the water above. Organisms in the profundal zone may include clams, snails, and some species of fish.","There isnt enough light for photosynthesis in this zone, so most",drift down from the water above,"why do organisms in the profundal zone eat dead organisms that drift from the water above ?
","why do organisms in the profundal zone eat dead organisms ?
"
50,50,53,82,"They represent very early life stages of a chicken, turtle, pig, and human being. The embryos look so similar that its hard to tell them apart. Such similarities provide evidence that all four types of animals are related.",The embryos look so similar,its hard to tell them apart,"why is it hard to tell them apart ?
","why do the embryos look so similar ?
"
51,51,54,82,"Atoms are the building block of all of the elements that make up the matter in your body or any other living or non-living thing. Atoms are so small that only the most powerful microscopes can see them. Atoms themselves are composed of even smaller particles, including positively charged protons, uncharged neu-trons, and negatively charged electrons.",Atoms are so small,only the most powerful microscopes can see them,"why can only the most powerful microscopes see atoms ?
","why are atoms so small ?
"
52,52,55,82," Millions of years ago, there were so many dead plants and animals that they could not completely decompose before they were buried. They were covered over by soil or sand, tar or ice.","Millions of years ago, there were so many dead",they could not completely decompose before they were buried,"why couldn ' t plants and animals decompose before they were buried ?
","why were there so many dead plants and animals millions of years ago ?
"
53,53,56,82," Millions of years ago, there were so many dead plants and animals that they could not completely decompose before they were buried. They were covered over by soil or sand, tar or ice.","Millions of years ago, there were so many dead",they could not completely decompose before they were buried,"why couldn ' t plants and animals decompose before they were buried ?
","why were there so many dead plants and animals millions of years ago ?
"
54,54,57,82,The Earth is at least as old as its oldest rocks. The oldest rock minerals found on Earth so far are crystals that are at least 4.404 billion years old. These tiny crystals were found in Australia.,oldest rock minerals found on Earth so far,are at least 4.404 billion years old,"what are crystals that are at least 4 . 404 billion years old ?
","why are the oldest rock minerals found on earth so far ?
"
55,55,58,82,"Look at the metal surfaces in Figure 13.8. The metal foil is so smooth that it is shiny. However, when highly magnified, the surface of metal appears to be very bumpy.",The metal foil is so smooth,it is shiny,"why is the metal foil in figure 13 . 8 shiny ?
","why is the metal foil so smooth ?
"
56,56,59,82," A friend whispers to you in class in a voice so soft that you have to lean very close to hear what hes saying. Later that day, your friend shouts to you across the football field.",A friend whispers to you in class in a voice so soft,you have to lean very close to hear what hes saying,"why do you have to lean very close to hear what hes saying ?
","why does a friend whisper to you in class in a voice so soft ?
"
57,57,60,82,"The shortest-wavelength, highest-frequency electromagnetic waves are X rays and gamma rays. These rays have so much energy that they can pass through many materials. This makes them potentially very harmful, but it also makes them useful for certain purposes.",These rays have so much,they can pass through many materials,"why can x rays and gamma rays pass through many materials ?
","why do x rays and gamma rays have so much energy ?
"
58,58,61,82,"For example, period 1 contains only two elements. Periods 6 and 7, in contrast, are so long that some of their elements are placed below the main part of the table. They are the elements starting with lanthanum (La) in period 6 and actinium (Ac) in period 7.","Periods 6 and 7, in contrast, are so long",some of their elements are placed below the main part of the table,"why are some of their elements placed below the main part of the table ?
","why are periods 6 and 7 so long ?
"
59,59,62,82,"For example, iron is not as strong as steel, which is a mixture of iron and small amounts of carbon. Steel is so strong that it can hold up huge bridges, like the one Figure 7.15. Steel is also used to make skyscrapers, cargo ships, cars, and trains.",Steel is so strong,it can hold up huge bridges,"why can huge bridges be made out of it ?
","why is steel so strong ?
"
60,60,63,82,"It is burned in acetylene torches, like the one in Figure 9.13. Acetylene produces so much heat when it burns that it can melt metal. Breaking all those bonds between carbon atoms releases a lot of energy.",Acetylene produces so much,it can melt metal,"why can acetylene melt metal ?
","why does acetylene produce so much heat when it burns ?
"
61,61,64,82,An incandescent light bulb like the one pictured in the Figure 1.1 produces visible light by incandescence. Incan-descence occurs when something gets so hot that it glows. An incandescent light bulb contains a thin wire filament made of tungsten.,Incan-descence occurs when something gets so hot,it glows,"what happens when an incandescent light bulb glows ?
","what happens when something gets so hot that it incan - descence ?
"
62,62,65,82,"When you drop a paper clip, why doesnt it fall toward you instead of toward Earth? A: Earth is so much more massive than you that its gravitational pull on the paper clip is immensely greater. ",A: Earth is so much more,its gravitational pull on the paper clip is immensely greater,"why doesn ' t the paper clip fall toward you ?
","why is earth so much more massive than you ?
"
63,63,66,82,"It easily loses its one valence electron to form positive potassium ions (K+), which are needed by all living cells. Potassium is so impor-tant for plants that it is found in almost all fertilizers, like the one shown here. Potassium is abundant in Earths crust in minerals such as feldspar.",Potassium is so impor,"it is found in almost all fertilizers, like the one shown here","why is it found in almost all fertilizers ?
","why is potassium so impor - tant for plants ?
"
64,64,67,82,Q: Why can low-amplitude sounds like whispers be heard only over short distances? A: The sound waves already have so little energy that spreading them out over a wider area quickly reduces their intensity below the level of hearing. ,A: The sound waves already have so little,spreading them out over a wider area quickly reduces their intensity below the level of hearing,"why can low - amplitude sounds like whispers only be heard over a wider area ?
","why can low - amplitude sounds like whispers be heard only over short distances ?
"
65,65,68,82,"For example, period 1 contains only two elements: hydrogen (H) and helium (He). In contrast, periods 6 and 7 are so long that many of their elements are placed below the main part of the table. They are the elements starting with lanthanum (La) in period 6 and actinium (Ac) in period 7.","In contrast, periods 6 and 7 are so long",many of their elements are placed below the main part of the table,"why are many of their elements placed below the main part of the table ?
","why are periods 6 and 7 so long ?
"
66,66,69,82,"Objects with greater mass have a stronger force of gravity between them. For example, because Earth is so massive, it attracts you and your desk more strongly that you and your desk attract each other. Thats why you and the desk remain in place on the floor rather than moving toward one another.","For example, because Earth is so massive",you and your desk attract each other,"why does earth attract you and your desk more strongly ?
","why does earth attract you and your desk more strongly ?
"
67,67,71,82,"Incandescent light bulbs also produce light in this way. When electric current passes through a wire filament inside an incandescent bulb, the wire gets so hot that it glows. Do you see the glowing filament inside the incandescent light bulb in the Figure 1.1?","When electric current passes through a wire filament inside an incandescent bulb, the wire gets so hot",it glows,"why does the wire in an incandescent bulb glow ?
","what happens when electric current passes through a wire filament inside an incandescent bulb ?
"
68,68,72,82,"It is burned in acetylene torches, like the one pictured in the Figure 1.4. The flame of an acetylene torch is so hot that it can melt metal. Cutting metal with an acetylene (ethyne) torch.",The flame of an acetylene torch is so hot,it can melt metal,"why can the flame of an acetylene torch melt metal ?
","why is the flame of an acetylene torch so hot ?
"
69,69,73,82," Because valence electrons are so important, atoms are often represented by simple diagrams that show only their valence electrons. These are called electron dot diagrams, and three are shown below.",Because valence electrons are so important,show only their valence electrons,"why are atoms often represented by simple diagrams ?
","why are atoms often represented by simple diagrams ?
"
70,70,74,79,"Oceanography is the study of the oceans. The word oceanology might be more accurate, since ology is the study of. Graph is to write and refers to map making.",ology is the study of,The word oceanology might be more accurate,"why might the word oceanology be more accurate ?
","why is oceanography the study of the oceans ?
"
71,71,75,79,"Between the grains are pores, or tiny holes. Since water can move through this rock it is permeable. Eventually, the water reaches a layer of rock that is not porous and so is impermeable.",water can move through this rock it is permeable,"Between the grains are pores, or tiny holes","why is water permeable to the rock ?
","why is the rock impermeable ?
"
72,72,76,79,The bacteria that make food from chemicals are also primary producers. These organisms do not do photosynthesis since there is no light at the vents. They do something called chemosynthesis.,there is no light at the vents,These organisms do not do photosynthesis,"why do bacteria that make food from chemicals not do photosynthesis ?
","why is there no light at the vents ?
"
73,73,77,79,"A microclimate can be due to a place being deeper. Since cold air sinks, a depression in the land can be a lot colder than the land around it. ","cold air sinks, a depression in the land can be a lot colder than the land around it",A microclimate can be due to a place being deeper,"why can a place be deeper than the land around it ?
","why is a depression in the land colder than the land around it ?
"
74,74,78,79,"But each time, the anomaly (the difference from average temperature) was less than 1 C (1.8 F). Since the mid 1800s, Earth has warmed up quickly. Look at Figure 17.19.","the mid 1800s, Earth has warmed up quickly",the anomaly (the difference from average temperature) was less than 1 C (1.8 F),"what happened since the mid 1800s ?
","what happened each time the earth warmed up ?
"
75,75,79,79,Look at Figure 17.19. The 14 hottest years on record have all occurred since 1900. Eight of them have occurred since 1998!,1900. Eight of them have occurred since 1998,on record have all occurred,"since what year have the 14 hottest years on record occurred ?
","what happened in the 14 hottest years since 1900 ?
"
76,76,80,79,The 14 hottest years on record have all occurred since 1900. Eight of them have occurred since 1998! This is what is usually meant by global warming.,1998! This is what is usually meant by global warming,Eight of them have occurred,"since what year have eight of the hottest years on record occurred ?
","how many years have there been since 1998 ?
"
77,77,81,79,The nitrogen is a fertilizer in the water bodies. Since there is a lot of nitrogen it causes algae to grow out of control. Figure 18.14 shows a pond covered with algae.,there is a lot of nitrogen it causes algae to grow out of control,The nitrogen is a fertilizer in the water bodies,"why is nitrogen a fertilizer in water bodies ?
","why do algae grow out of control ?
"
78,78,82,79,"This caused rapid population growth. However, the birth rate in these countries has since fallen to a rate close to that of the low death rate. The result was slow population growth once again.",fallen to a rate close to that of the low death rate,rate in these countries has,"what happened to the birth rate in these countries ?
","what happened to the birth rate in these countries ?
"
79,79,83,79,"It peaked in 2006. Since then, it has been somewhat smaller. ","then, it has been somewhat smaller",It peaked in 2006,"what happened since 2006 ?
","when did it become smaller ?
"
80,80,84,79,"There is less air above the telescope, so there is less interference from the atmosphere. Space telescopes avoid such problems completely since they orbit outside the atmosphere. The Hubble Space Telescope is the best known space telescope.",they orbit outside the atmosphere,telescopes avoid such problems completely,"why do space telescopes avoid such problems completely ?
","why do space telescopes orbit outside the atmosphere ?
"
81,81,85,79,Hubble began operations in 1994. Since then it has provided huge amounts of data. The telescope has helped astronomers answer many of the biggest questions in astronomy.,then it has provided huge amounts of data,Hubble began operations in 1994,"what happened since hubble began operations ?
","when did the hubble telescope begin operations ?
"
82,82,86,79,Scientists are very interested in asteroids. Most are composed of material that has not changed since early in the solar system. Scientists can learn a lot from them about how the solar system formed.,early in the solar system. Scientists can learn a lot from them about how the solar system formed,Most are composed of material that has not changed,"why are most asteroids composed of material that has not changed since ?
","why are scientists very interested in asteroids ?
"
83,83,87,79,These fuels are rich sources of energy. Since they are mostly liquids they can be easily transported. These fuels provide about 90% of the energy used for transportation around the world.,they are mostly liquids they can be easily transported,These fuels are rich sources of energy,"why are these fuels rich sources of energy ?
","why can these fuels be easily transported ?
"
84,84,88,79,"Wegener suggested that Pangaea broke up long ago. Since then, the continents have been moving to their current positions. He called his hypothesis continental drift.","then, the continents have been moving to their current positions",Wegener suggested that Pangaea broke up long ago,"why did wegener suggest that pangaea broke up long ago ?
","why did wegener call his hypothesis continental drift ?
"
85,85,89,79,"Not surprisingly, these methods resulted in wildly different estimates. A relatively good estimate was produced by the British geologist Charles Lyell, who thought that 240 million years had passed since the appearance of the first animals with shells. Today scientists know that this event occurred about 530 million years ago.",the appearance of the first animals with shells. Today scientists know that this event occurred about 530 million,had passed,"why did charles lyell think that 240 million years had passed ?
","why did charles lyell think that 240 million years had passed since the first animals with shells ?
"
86,86,90,79,"Natural resource use is generally lower in developing countries because people cannot afford many products. Some of these nations export natural resources to the developed world since their deposits may be richer and the cost of labor lower. Environmental regulations are often more lax, further lowering the cost of resource extraction.",their deposits may be richer and the cost of labor lower,Some of these nations export natural resources to the developed world,"why do some countries export natural resources to the developed world ?
","why is the cost of labor lower in developing countries ?
"
87,87,91,79,What came before the Big Bang? There is no way for scientists to know since there is no remaining evidence. ,there is no remaining evidence,There is no way for scientists to know,"why is there no way for scientists to know what came before the big bang ?
","why is there no remaining evidence of what came before the big bang ?
"
88,88,92,79,"This tiny amount of heat is left over from the Big Bang. Since nearly Images from very far away show what the universe was like not too long after the Big Bang. all astronomers now accept the Big Bang hypothesis, what is it usually referred to as?",nearly Images from very far away show what the universe was like not too long after the Big Bang,This tiny amount of heat is left over from the Big Bang,"why is this tiny amount of heat left over from the big bang ?
","why does nearly images show what the universe was like not too long after the big bang ?
"
89,89,93,79,"In 2014, the atmospheric CO2 content had risen to around 400 ppm. The amount of CO2 in the atmosphere has been measured at Mauna Loa Obser-vatory since 1958. The blue line shows yearly averaged CO2.",1958. The blue line shows yearly averaged CO2,The amount of CO2 in the atmosphere has been measured at Mauna Loa Obser-vatory,"since what year has the amount of co2 been measured at mauna loa obser - vatory ?
","what has happened since 1958 ?
"
90,90,94,79,"The red line shows seasonal variations in CO2. This is an increase in atmospheric CO2 of 40% since the before the Industrial Revolution. About 65% of that increase has occurred since the first CO2 measurements were made on Mauna Loa Volcano, Hawaii, in 1958.","the before the Industrial Revolution. About 65% of that increase has occurred since the first CO2 measurements were made on Mauna Loa Volcano, Hawaii, in 1958",This is an increase in atmospheric CO2 of 40%,"how long has there been an increase in atmospheric co2 ?
","why does the red line show seasonal variations in co2 ?
"
