,PatternID,Text,Cause,Effect,cause_question,effect_question,cause_recalls,effect_recalls,cause_f1,effect_f1
12,82,"In the mid 1900s, people were startled to see the Cuyahoga River in Cleveland, Ohio, burst into flames! The river was so polluted with oil and other industrial wastes that it was flammable. Nothing could live in it.",The river was so polluted,it was flammable,"why did people think the cuyahoga river burst into flames ?
","why did people think the cuyahoga river burst into flames ?
",0.25,0.0,0.4444444444444445,0.35294117647058826
13,82,"A temperature inversion over London, England, kept cold air and pollutants near the ground. The air became so polluted that thousands of people died in just a few days. This event was called the Big Smoke.",The air became so polluted,thousands of people died in just a few days,"why did thousands of people die in just a few days ?
","how many people died as a result of the big smoke ?
",0.0,0.875,0.0,1.0
14,82,With this information they could know when to plant crops. Stars were so important that the patterns they made in the sky were named. These patterns are called constellations.,Stars were so important,the patterns they made in the sky were named,"why were constellations named ?
","why were stars so important ?
",1.0,0.28571428600000004,0.0,0.13333333333333333
15,82,"A beam of light could travel from New York to Los Angeles and back again nearly 40 times in just one second. Even at that amazing rate, objects in space are so far away that it takes a lot of time for their light to reach us. Even light from the nearest star, our Sun, takes about 8 minutes to reach Earth.","Even at that amazing rate, objects in space are so far away",it takes a lot of time for their light to reach us,"why does it take a lot of time for light to reach us ?
","why are objects in space so far away ?
",0.583333333,0.818181818,0.7368421052631579,1.0
16,82,"As Figure 25.8 shows, the surface of Mercury is covered with craters, like Earths Moon. The presence of impact craters that are so old means that Mercury hasnt changed much geologically for billions of years. With only a trace of an atmosphere, it has no weather to wear down the ancient craters.",The presence of impact craters that are so old,Mercury hasnt changed much geologically for billions of years,"what means that mercury hasn ' t changed much geologically for billions of years ?
","what does the presence of impact craters on mercury mean ?
",0.5,0.8888888890000001,1.0,0.9473684210526316
17,82,"They are made of carbon dioxide, sulfur dioxide and large amounts of corrosive sulfuric acid! The atmosphere of Venus is so thick that the pressure on the surface of Venus is very high. In fact, it is 90 times greater than the pressure at Earths surface!",The atmosphere of Venus is so thick,the pressure on the surface of Venus is very high,"why is the pressure on the surface of venus so high ?
","what is the pressure on the surface of venus ?
",0.5,0.875,1.0,0.4
18,82,Europa is heated by Jupiter. Jupiters tidal forces are so great that they stretch and squash its moon. This could produce enough heat for there to be liquid water.,Jupiters tidal forces are so great,they stretch and squash its moon,"why is europa so heated by jupiter ?
","how do jupiter ' s tidal forces affect the moon ?
",0.333333333,0.0,0.631578947368421,1.0
19,82,"The shape of the orbit is like a long, narrow ellipse. Plutos orbit is so elliptical that sometimes it is inside the orbit of Neptune. Plutos orbit is in the Kuiper belt.",Plutos orbit is so elliptical,sometimes it is inside the orbit of Neptune,"why is plutos orbit sometimes inside neptune ' s orbit ?
","why is pluto ' s orbit so elliptical ?
",0.8,0.7142857140000001,0.5714285714285715,0.9333333333333332
20,82,Both are very lightweight gases. A star contains so much hydrogen and helium that the weight of these gases is enormous. The pressure at the center of a star is great enough to heat the gases.,A star contains so much,the weight of these gases is enormous,"how much hydrogen and helium does a star contain ?
","what is the weight of hydrogen and helium in a star ?
",0.25,0.0,0.0,0.2857142857142857
21,82,"If the core remaining after a supernova is more than about 5 times the mass of the Sun, the core collapses to become a black hole. Black holes are so dense that not even light can escape their gravity. For that reason, we cant see black holes.",Black holes are so dense,not even light can escape their gravity,"why can ' t light escape the gravity of a black hole ?
","why are black holes so dense ?
",1.0,0.571428571,0.5555555555555556,0.9333333333333332
22,82,Rocks are made of minerals. The minerals may be so tiny that you can only see them with a microscope. The minerals may be really large.,The minerals may be so tiny,you can only see them with a microscope,"why can ' t you see the minerals with a microscope ?
","how can you see the tiny minerals in a rock ?
",0.4,0.7142857140000001,0.5714285714285715,0.4444444444444445
23,82,Renewable resources can be replaced as quickly as they are used. Renewable resources may also be so abundant that running out is impossible. The difference between non-renewable and renewable resources is like the difference between ordinary batteries and rechargeable ones.,Renewable resources may also be so abundant,running out is impossible,"why is it impossible to run out of renewable resources ?
","what happens when renewable resources are so abundant that it is impossible to run out ?
",0.571428571,0.75,0.25,0.1
24,82,"This makes a weak acid, called carbonic acid. This happens so often that carbonic acid is a common, weak acid found in nature. This acid works to dissolve rock.",This happens so often,"carbonic acid is a common, weak acid found in nature","why is carbonic acid common in nature ?
","what is carbonic acid ?
",0.0,0.666666667,0.0,0.3636363636363636
25,82,"You also may have seen this if you put a can of soda into the freezer so that it cools down quickly. If you leave the can in the freezer too long, the liquid expands so much that it bends or pops the can. (For the record, water is very unusual.","If you leave the can in the freezer too long, the liquid expands so much",it bends or pops the can,"what happens when you put a can of soda in the freezer too long ?
","what happens to a can of soda if it ' s left in the freezer too long ?
",0.5,0.2,0.4545454545454545,0.6666666666666666
26,82,"Limestone in the midwestern United States protects the area. One reason that the northeastern United States is so vulnerable to acid rain damage is that the rocks are not carbonates. Because pollutants can travel so far, much of the acid rain that falls hurts states or nations other than ones where the pollutants were released.",One reason that the northeastern United States is so vulnerable,the rocks are not carbonates,"why are the rocks not carbonates ?
","why is the northeastern united states so vulnerable to acid rain damage ?
",0.666666667,1.0,0.18750000000000006,0.0
27,82,"One reason that the northeastern United States is so vulnerable to acid rain damage is that the rocks are not carbonates. Because pollutants can travel so far, much of the acid rain that falls hurts states or nations other than ones where the pollutants were released. All the rain that falls in Sweden is acidic and fish in lakes all over the country are dying.",Because pollutants can travel so far,falls hurts states or nations other than ones where the pollutants were released,"why does much of the acid rain that falls hurts countries other than ones where the pollutants were released ?
","what does acid rain do to other countries ?
",0.0,0.75,1.0,0.9565217391304348
28,82,"Non-renewable resources vary in their availability; some are very abundant and others are rare. Materials, such as gravel or sand, are technically non-renewable, but they are so abundant that running out is no issue. Some resources are truly limited in quantity: when they are gone, they are gone, and something must be found that will replace them.","Materials, such as gravel or sand, are technically non-renewable, but they are so abundant",running out is no issue,"why is running out of non - renewable resources an issue ?
","why are non - renewable materials so abundant ?
",0.28571428600000004,0.8,0.4444444444444445,1.0
29,82,"Besides abundance, a resources value is determined by how easy it is to locate and extract. If a resource is difficult to use, it will not be used until the price for that resource becomes so great that it is worth paying for. For example, the oceans are filled with an abundant supply of water, but desalination is costly, so it is used only where water is really limited (Figure 1.1).","If a resource is difficult to use, it will not be used until the price for that resource becomes so great",it is worth paying for,"what happens when a resource is difficult to use ?
","if a resource is difficult to use , it will not be used until the price for the resource becomes so great that it is worth what ?
",1.0,0.2,0.7368421052631579,0.5714285714285715
30,82,"Earth was so hot for three reasons: Gravitational contraction: As small bodies of rock and metal accreted, the planet grew larger and more massive. Gravity within such an enormous body squeezes the material in its interior so hard that the pressure swells. As Earths internal pressure grew, its temperature also rose.",Gravity within such an enormous body squeezes the material in its interior so hard,the pressure swells,"why did the pressure swell on earth ?
","what happens when gravity squeezes the material in the interior of an enormous body ?
",0.583333333,0.5,1.0,1.0
31,82,Ancient impact craters found on the Moon and inner planets indicate that asteroid impacts were common in the early solar system. Earth was struck so much in its first 500 million years that the heat was intense. Very few large objects have struck the planet in the past many hundreds of millions of year.,Earth was struck so much,the heat was intense,"why was the heat so intense in earth ' s first 500 million years ?
","what was the effect of the asteroid impact on earth ?
",0.4,1.0,0.5,1.0
32,82,Intense heat from the early core drove rapid and vigorous mantle convection so that crust quickly recycled into the mantle. The recycling of basaltic crust was so effective that no remnants of it are found today. ,The recycling of basaltic crust was so effective,no remnants of it are found today,"why are no remnants of basaltic crust found today ?
","what was the result of the recycling of basaltic crust ?
",0.7142857140000001,0.857142857,1.0,1.0
33,82,"Over time, layer upon layer of these remains accumulated. Eventually, the layers were buried so deeply that they were crushed by an enormous mass of earth. The weight of this earth pressing down on these plant and animal remains created intense heat and pressure.","Eventually, the layers were buried so deeply",they were crushed by an enormous mass of earth,"what happened to the layers of plant and animal remains ?
","what happened to the layers of plant and animal remains ?
",0.166666667,0.125,0.5,0.7272727272727273
34,82,"Whether an ice field moves or not depends on the amount of ice in the field, the steepness of the slope and the roughness of the ground surface. Ice moves where the pressure is so great that it undergoes plastic flow. Ice also slides at the bottom, often lubricated by water that has melted and travels between the ground and the ice.",Ice moves where the pressure is so great,it undergoes plastic flow,"when does ice undergo plastic flow ?
","what happens when the pressure is so great that ice moves ?
",0.857142857,0.5,0.8333333333333333,0.6666666666666666
35,82,"The passageway traps the heated water underground, so that heat and pressure can build. Eventually, the pressure grows so great that the superheated water bursts out onto the surface to create a geyser. Figure 1.2.","Eventually, the pressure grows so great",the superheated water bursts out onto the surface to create a geyser,"why is a geyser created ?
","what happens to the water when the pressure grows too great ?
",0.6,0.111111111,0.0,0.8750000000000001
36,82,"Ice wedging works quickly, breaking apart rocks in areas with temperatures that cycle above and below freezing in the day and night, and also that cycle above and below freezing with the seasons. Ice wedging breaks apart so much rock that large piles of broken rock are seen at the base of a hillside, as rock fragments separate and tumble down. Ice wedging is common in Earths polar regions and mid latitudes, and also at higher elevations, such as in the mountains.",Ice wedging breaks apart so much,"large piles of broken rock are seen at the base of a hillside, as rock fragments separate and tumble down","why are large piles of broken rock seen at the base of a hillside ?
","what happens when ice wedging breaks apart so much rock ?
",1.0,0.611111111,0.0,0.5
37,82,"From about 3.0 to 3.5 billion years ago the Moon was continually bombarded by meteorites. Some of these meteorites were so large that they broke through the Moons newly formed surface. Then, magma flowed out and filled the craters.",Some of these meteorites were so large,they broke through the Moons newly formed surface,"why did meteorites break through the moon ' s surface ?
","what happened to the meteorites that hit the moon ?
",0.14285714300000002,0.28571428600000004,0.16666666666666666,0.0
38,82,"Certainly no one today doubts that Earth orbits a star, the Sun. Photos taken from space, observations made by astronauts, and the fact that there has been so much successful space exploration that depends on understanding the structure of the solar system all confirm it. But in the early 17th century saying that Earth orbited the Sun rather than the reverse could get you tried for heresy, as it did Galileo.","Photos taken from space, observations made by astronauts, and the fact that there has been so much",depends on understanding the structure of the solar system all confirm it,"what three things confirm that earth orbits a star ?
","why is there so much successful space exploration ?
",0.25,0.1,0.9142857142857144,0.6666666666666666
39,82,"This circle moves around Earth in a larger circle, called a deferent. Ptolemys version of the geocentric model worked so well that it remained the accepted model of the universe for more than a thousand years. ",Ptolemys version of the geocentric model worked so well,it remained the accepted model of the universe for more than a thousand years,"why did ptolemy ' s model remain the accepted model for more than a thousand years ?
","how long did ptolemy ' s geocentric model remain accepted ?
",0.25,0.636363636,0.5454545454545454,0.5333333333333333
40,82,"Rocks are made of minerals. The mineral grains in a rock may be so tiny that you can only see them with a microscope, or they may be as big as your fingernail or even your finger (Figure Rocks are identified primarily by the minerals they contain and by their texture.",The mineral grains in a rock may be so tiny,"you can only see them with a microscope, or they may be as big as your fingernail or even your finger","why can ' t you see the minerals in a rock with a microscope ?
","how big are the mineral grains in a rock ?
",0.5,0.25,0.0,0.6206896551724138
41,82," Stars are made mostly of hydrogen and helium, which are packed so densely in a star that in the stars center the pressure is great enough to initiate nuclear fusion reactions. In a nuclear fusion reaction, the nuclei of two atoms combine to create a new atom.","Stars are made mostly of hydrogen and helium, which are packed so densely",in the stars center the pressure is great enough to initiate nuclear fusion reactions,"how are hydrogen and helium packed in a star ?
","what happens when hydrogen and helium are packed so densely in a star ?
",0.538461538,0.083333333,0.2666666666666667,0.8571428571428571
42,82,This creates a huge hole or caldera into which the surface collapses (Figure 1.1). The caldera at Santorini in Greece is so large that it can only be seen by satellite. ,The caldera at Santorini in Greece is so large,it can only be seen by satellite,"why can ' t a satellite see the caldera at santorini ?
","how can you see the caldera at santorini ?
",0.375,0.28571428600000004,0.4324324324324324,0.4444444444444445
43,82,A supervolcano could change life on Earth as we know it. Ash could block sunlight so much that photosynthesis would be reduced and global temperatures would plummet. Volcanic eruptions could have contributed to some of the mass extinctions in our planets history.,Ash could block sunlight so much,photosynthesis would be reduced and global temperatures would plummet,"how could a supervolcano reduce photosynthesis ?
","what would happen if a supervolcano blocks sunlight ?
",0.166666667,0.111111111,0.8,1.0
44,82,"One cannot see stellar parallax with the naked-eye, so Aristotle concluded that the earth must be at rest. (The stars are so far away, that one needs a good telescope to measure stellar parallax, which was first measured in 1838.) Aristotle believed that the objects in the heavens are perfect and unchanging.",(The stars are so far away,"one needs a good telescope to measure stellar parallax, which was first measured in 1838","why did aristotle believe that the earth must be at rest ?
","why did aristotle believe the stars must be so far away ?
",0.8,0.0,0.0,0.7272727272727273
45,82," The density of molecules is so low in the thermosphere that one gas molecule can go about 1 km before it collides with another molecule. Since so little energy is transferred, the air feels very cold",The density of molecules is so low,one gas molecule can go about 1 km before it collides with another molecule,"why does one gas molecule go 1 km before it collides with a molecule ?
","why is the density of molecules so low in the thermosphere ?
",1.0,0.7857142859999999,0.25,0.0
46,82," There is no real outer limit to the exosphere, the outermost layer of the atmosphere; the gas molecules finally become so scarce that at some point there are no more. Beyond the atmosphere is the solar wind.","There is no real outer limit to the exosphere, the outermost layer of the atmosphere; the gas molecules finally become so scarce",at some point there are no more,"is there a limit to the exosphere ?
","when do gas molecules become scarce in the exosphere ?
",0.27777777800000003,0.14285714300000002,0.7142857142857143,0.7368421052631579
47,82,"Uranus (YOOR-uh-nuhs) is named for the Greek god of the sky. From Earth, Uranus is so faint that it was unnoticed by ancient observers. William Herschel first discovered the planet in 1781.","From Earth, Uranus is so faint",it was unnoticed by ancient observers,"why was uranus unnoticed by ancient observers ?
","what happened to uranus from earth ?
",0.5,0.833333333,0.5,1.0
48,82,"URL: The atmosphere of Venus is so thick that the atmospheric pressure on the planets surface is 90 times greater than the atmospheric pressure on Earths surface. The dense atmosphere totally obscures the surface of Venus, even from spacecraft orbiting the planet.",The atmosphere of Venus is so thick,the atmospheric pressure on the planets surface is 90 times greater than the atmospheric pressure on Earths surface,"why is the atmospheric pressure on venus 90 times greater than on earths ?
","what is the effect of the dense atmosphere on the surface of venus ?
",0.666666667,0.666666667,0.3428571428571429,0.1
49,82,"The deeper water of a lake makes up the profundal zone. There isnt enough light for photosynthesis in this zone, so most organisms here eat dead organisms that drift down from the water above. Organisms in the profundal zone may include clams, snails, and some species of fish.","There isnt enough light for photosynthesis in this zone, so most",drift down from the water above,"why do organisms in the profundal zone eat dead organisms ?
","where do organisms in the profundal zone come from ?
",0.181818182,0.0,0.0,0.2857142857142857
50,82,"They represent very early life stages of a chicken, turtle, pig, and human being. The embryos look so similar that its hard to tell them apart. Such similarities provide evidence that all four types of animals are related.",The embryos look so similar,its hard to tell them apart,"why is it hard to tell the difference between the embryos of the chicken , turtle , pig , and human being ?
","how do the embryos of all four types of animals look ?
",0.5,0.5,0.5333333333333333,0.8
51,82,"Atoms are the building block of all of the elements that make up the matter in your body or any other living or non-living thing. Atoms are so small that only the most powerful microscopes can see them. Atoms themselves are composed of even smaller particles, including positively charged protons, uncharged neu-trons, and negatively charged electrons.",Atoms are so small,only the most powerful microscopes can see them,"why can ' t the most powerful microscopes see atoms ?
","why are atoms so small ?
",1.0,0.7142857140000001,0.17391304347826084,1.0
52,82," Millions of years ago, there were so many dead plants and animals that they could not completely decompose before they were buried. They were covered over by soil or sand, tar or ice.","Millions of years ago, there were so many dead",they could not completely decompose before they were buried,"why couldn ' t plants and animals decompose before they were buried ?
","why were so many dead plants and animals buried millions of years ago ?
",0.8888888890000001,0.5555555560000001,0.2222222222222222,0.6206896551724138
53,82," Millions of years ago, there were so many dead plants and animals that they could not completely decompose before they were buried. They were covered over by soil or sand, tar or ice.","Millions of years ago, there were so many dead",they could not completely decompose before they were buried,"why couldn ' t plants and animals decompose before they were buried ?
","why were so many dead plants and animals buried millions of years ago ?
",0.8888888890000001,0.5555555560000001,0.2222222222222222,0.6206896551724138
54,82,The Earth is at least as old as its oldest rocks. The oldest rock minerals found on Earth so far are crystals that are at least 4.404 billion years old. These tiny crystals were found in Australia.,oldest rock minerals found on Earth so far,are at least 4.404 billion years old,"what are crystals that are at least 4 . 404 billion years old ?
","how old are the oldest rock minerals found on earth ?
",0.75,0.857142857,0.5454545454545454,0.5
55,82,"Look at the metal surfaces in Figure 13.8. The metal foil is so smooth that it is shiny. However, when highly magnified, the surface of metal appears to be very bumpy.",The metal foil is so smooth,it is shiny,"why is the metal foil in figure 13 . 8 shiny ?
","how does the metal foil in figure 13 . 8 appear when magnified ?
",0.4,0.666666667,0.3478260869565218,0.0
56,82," A friend whispers to you in class in a voice so soft that you have to lean very close to hear what hes saying. Later that day, your friend shouts to you across the football field.",A friend whispers to you in class in a voice so soft,you have to lean very close to hear what hes saying,"what is it called when someone whispers to you in class ?
","what happens to you when a friend whispers to you in class ?
",0.6,0.272727273,0.4615384615384615,1.0
57,82,"The shortest-wavelength, highest-frequency electromagnetic waves are X rays and gamma rays. These rays have so much energy that they can pass through many materials. This makes them potentially very harmful, but it also makes them useful for certain purposes.",These rays have so much,they can pass through many materials,"why can x rays and gamma rays pass through many materials ?
","how can x and gamma rays pass through materials ?
",0.2,0.833333333,0.0,0.7499999999999999
58,82,"For example, period 1 contains only two elements. Periods 6 and 7, in contrast, are so long that some of their elements are placed below the main part of the table. They are the elements starting with lanthanum (La) in period 6 and actinium (Ac) in period 7.","Periods 6 and 7, in contrast, are so long",some of their elements are placed below the main part of the table,"why are some of the elements in periods 6 and 7 placed below the main part of the table ?
","what happens to the elements in periods 6 and 7 ?
",0.5555555560000001,0.9090909090000001,0.3636363636363636,1.0
59,82,"For example, iron is not as strong as steel, which is a mixture of iron and small amounts of carbon. Steel is so strong that it can hold up huge bridges, like the one Figure 7.15. Steel is also used to make skyscrapers, cargo ships, cars, and trains.",Steel is so strong,it can hold up huge bridges,"why can ' t steel hold up huge bridges ?
","why is steel so strong ?
",1.0,0.833333333,0.25,0.923076923076923
60,82,"It is burned in acetylene torches, like the one in Figure 9.13. Acetylene produces so much heat when it burns that it can melt metal. Breaking all those bonds between carbon atoms releases a lot of energy.",Acetylene produces so much,it can melt metal,"how much heat does acetylene produce when it burns ?
","what happens to metal when acetylene burns ?
",0.25,0.25,0.26666666666666666,0.6666666666666666
61,82,An incandescent light bulb like the one pictured in the Figure 1.1 produces visible light by incandescence. Incan-descence occurs when something gets so hot that it glows. An incandescent light bulb contains a thin wire filament made of tungsten.,Incan-descence occurs when something gets so hot,it glows,"when does an incandescent light bulb glow ?
","what happens when something gets so hot that it produces incan - descence ?
",0.7142857140000001,0.0,0.6666666666666666,0.6666666666666666
62,82,"When you drop a paper clip, why doesnt it fall toward you instead of toward Earth? A: Earth is so much more massive than you that its gravitational pull on the paper clip is immensely greater. ",A: Earth is so much more,its gravitational pull on the paper clip is immensely greater,"why doesn ' t the paper clip fall toward you ?
","why is earth so much more massive than you ?
",1.0,0.222222222,0.0,0.9473684210526316
63,82,"It easily loses its one valence electron to form positive potassium ions (K+), which are needed by all living cells. Potassium is so impor-tant for plants that it is found in almost all fertilizers, like the one shown here. Potassium is abundant in Earths crust in minerals such as feldspar.",Potassium is so impor,"it is found in almost all fertilizers, like the one shown here","why is potassium found in almost all fertilizers ?
","how is potassium found in plants ?
",0.5,0.545454545,0.25,0.16666666666666669
64,82,Q: Why can low-amplitude sounds like whispers be heard only over short distances? A: The sound waves already have so little energy that spreading them out over a wider area quickly reduces their intensity below the level of hearing. ,A: The sound waves already have so little,spreading them out over a wider area quickly reduces their intensity below the level of hearing,"why can ' t low - amplitude sounds be heard over a wider area ?
","why can low - amplitude sounds be heard over short distances ?
",0.0,0.214285714,0.0,0.7777777777777778
65,82,"For example, period 1 contains only two elements: hydrogen (H) and helium (He). In contrast, periods 6 and 7 are so long that many of their elements are placed below the main part of the table. They are the elements starting with lanthanum (La) in period 6 and actinium (Ac) in period 7.","In contrast, periods 6 and 7 are so long",many of their elements are placed below the main part of the table,"what is the difference between periods 6 and 7 in the table ?
","what happens to the elements in periods 6 and 7 ?
",0.5555555560000001,0.090909091,0.5,0.7058823529411764
66,82,"Objects with greater mass have a stronger force of gravity between them. For example, because Earth is so massive, it attracts you and your desk more strongly that you and your desk attract each other. Thats why you and the desk remain in place on the floor rather than moving toward one another.","For example, because Earth is so massive",you and your desk attract each other,"why does earth attract you and your desk more strongly ?
","why does earth attract you and your desk more strongly ?
",0.14285714300000002,0.7142857140000001,0.8333333333333333,0.0
67,82,"Incandescent light bulbs also produce light in this way. When electric current passes through a wire filament inside an incandescent bulb, the wire gets so hot that it glows. Do you see the glowing filament inside the incandescent light bulb in the Figure 1.1?","When electric current passes through a wire filament inside an incandescent bulb, the wire gets so hot",it glows,"how does the wire in an incandescent light bulb glow ?
","what happens when electric current passes through a wire filament inside an incandescent bulb ?
",0.7142857140000001,0.0,1.0,0.4444444444444445
68,82,"It is burned in acetylene torches, like the one pictured in the Figure 1.4. The flame of an acetylene torch is so hot that it can melt metal. Cutting metal with an acetylene (ethyne) torch.",The flame of an acetylene torch is so hot,it can melt metal,"how can an acetylene torch melt metal ?
","what does the flame of an acetylene torch do ?
",0.571428571,0.75,1.0,0.6666666666666666
69,82," Because valence electrons are so important, atoms are often represented by simple diagrams that show only their valence electrons. These are called electron dot diagrams, and three are shown below.",Because valence electrons are so important,show only their valence electrons,"why are atoms often represented by simple diagrams ?
","what do electron dot diagrams do ?
",0.0,0.0,1.0,0.4166666666666667
70,79,"Oceanography is the study of the oceans. The word oceanology might be more accurate, since ology is the study of. Graph is to write and refers to map making.",ology is the study of,The word oceanology might be more accurate,"why might the word oceanology be more accurate ?
","what word might be more accurate than oceanography ?
",0.0,1.0,0.4444444444444445,0.2857142857142857
71,79,"Between the grains are pores, or tiny holes. Since water can move through this rock it is permeable. Eventually, the water reaches a layer of rock that is not porous and so is impermeable.",water can move through this rock it is permeable,"Between the grains are pores, or tiny holes","why is water permeable to porous rock ?
","what makes the rock impermeable ?
",0.111111111,0.0,0.75,0.0
72,79,The bacteria that make food from chemicals are also primary producers. These organisms do not do photosynthesis since there is no light at the vents. They do something called chemosynthesis.,there is no light at the vents,These organisms do not do photosynthesis,"why do bacteria that make food from chemicals not do photosynthesis ?
","what do bacteria that make food from chemicals do ?
",0.0,0.666666667,0.923076923076923,0.1818181818181818
73,79,"A microclimate can be due to a place being deeper. Since cold air sinks, a depression in the land can be a lot colder than the land around it. ","cold air sinks, a depression in the land can be a lot colder than the land around it",A microclimate can be due to a place being deeper,"why can a depression in the land be colder than the land around it ?
","what can cause a microclimate ?
",0.071428571,0.25,0.3333333333333333,0.7692307692307693
74,79,"But each time, the anomaly (the difference from average temperature) was less than 1 C (1.8 F). Since the mid 1800s, Earth has warmed up quickly. Look at Figure 17.19.","the mid 1800s, Earth has warmed up quickly",the anomaly (the difference from average temperature) was less than 1 C (1.8 F),"since what time has the earth warmed up ?
","what was the difference in temperature between the mid 1800s and today ?
",0.28571428600000004,0.0,0.4,0.5263157894736842
75,79,Look at Figure 17.19. The 14 hottest years on record have all occurred since 1900. Eight of them have occurred since 1998!,1900. Eight of them have occurred since 1998,on record have all occurred,"how long have the 14 hottest years on record occurred ?
","how long have the hottest years on record occurred since 1900 ?
",0.5,0.8,0.4,0.0
76,79,The 14 hottest years on record have all occurred since 1900. Eight of them have occurred since 1998! This is what is usually meant by global warming.,1998! This is what is usually meant by global warming,Eight of them have occurred,"since what year have eight of the hottest years on record occurred ?
","how many of the hottest years on record have occurred since 1998 ?
",0.1,0.8,0.16666666666666669,0.33333333333333337
77,79,The nitrogen is a fertilizer in the water bodies. Since there is a lot of nitrogen it causes algae to grow out of control. Figure 18.14 shows a pond covered with algae.,there is a lot of nitrogen it causes algae to grow out of control,The nitrogen is a fertilizer in the water bodies,"why do algae grow out of control in water bodies ?
","why does nitrogen cause algae to grow out of control ?
",0.538461538,0.5,0.5263157894736842,0.3333333333333333
78,79,"This caused rapid population growth. However, the birth rate in these countries has since fallen to a rate close to that of the low death rate. The result was slow population growth once again.",fallen to a rate close to that of the low death rate,rate in these countries has,"what has happened to the birth rate in these countries ?
","what has happened to the birth rate in these countries ?
",0.2,1.0,0.7407407407407407,0.4545454545454545
79,79,"It peaked in 2006. Since then, it has been somewhat smaller. ","then, it has been somewhat smaller",It peaked in 2006,"what has happened since 2006 ?
","when did the album first come out ?
",0.0,0.25,0.5,0.6666666666666666
