,Unnamed: 0,context,question,answer,start_idx,end_idx
10,992,"Mennonites in the country stand out because of their light skin , hair , and eyes .",Why do Mennonites in the country stand ?,"because of their light skin , hair , and eyes",36,80
11,610,"The swanky Shutters on the Beach Hotel offers a trip to the famous Santa Monica Farmers Market to select and influence the materials that will become that evening 's special "" Market Dinner .",To what end does The Swanky Shutters on the Beach Hotel offer a trip to the famous Santa Monica Farmers Market?,"to select and influence the materials that will become that evening 's special "" Market Dinner",95,188
12,298,This is done to limit the temporal spread of quantization noise accompanying the transient .,For what purpose is This done ?,to limit the temporal spread of quantization noise accompanying the transient,13,89
13,851,"From as early as 1935 Japanese military strategists had concluded the Dutch East Indies were , because of their oil reserves , of considerable importance to Japan .",Why were the Netherlands Antilles so important to Japan?,because of their oil reserves,95,123
14,420,Several caretaker managers have gone on to secure a permanent managerial post after performing well as a caretaker ; examples include Paul Hart at Portsmouth and David Pleat at Tottenham Hotspur .,To what end have several caretaker managers gone several caretakers?,a caretaker,103,113
15,544,"Louis Rams quarterback Kurt Warner , who was MVP of Super Bowl XXXIV , was first noticed because he played quarterback for the AFL 's Iowa Barnstormers .","Why was Rams quarterback Kurt Warner, who was MVP of Super Bowl XXXIV, first noticed?",because he played quarterback for the AFL 's Iowa Barnstormers,89,150
16,706,"Madonna was named the top - earning celebrity of the year by Forbes , earning an estimated $ 125 million , due to the success of the tour .",Why did Madonna make an estimated $125 million?,due to the success of the tour,107,136
17,95,"Because the 1998 version of ISO 12232 did not permit measurement of camera output that had lossy compression , it was not possible to correctly apply any of those measurements to cameras that did not produce sRGB files in an uncompressed format such as TIFF .",Why was it not possible to apply these measurements correctly to cameras that did not generate sRGB files in an uncompressed format such as TIFF?,Because the 1998 version of ISO 12232 did not permit measurement of camera output that had lossy compression,0,107
18,829,For this reason it has long been used to line parts of ships to protect against barnacles and mussels .,For what purpose have parts of ships been interconnected for a long time?,to protect against barnacles and mussels,61,100
19,97,"She wrote to John Vickers , the OFT director - general , saying , "" They are not a group of businessmen meeting behind closed doors to fix the price of their products to the disadvantage of the consumer .",What is the purpose of a group of businessmen meeting behind closed doors?,to fix the price of their products to the disadvantage of the consumer,132,201
20,360,"Since then , "" Czechoslovak "" refers to improvised pidgins of the languages which have arisen from the decrease in mutual intelligibility .",Why have improvised pidgins of the languages arisen ?,from the decrease in mutual intelligibility,94,136
21,561,"In order to address the challenges of modernization and industrialization , China has begun to blend traditions of Taoism , Buddhism , and Confucianism with Whitehead 's "" constructive post - modern "" philosophy in order to create an "" ecological civilization .","To what end has China begun to blend traditions of Taoism, Buddhism, and Confucianism with Whitehead's ""constructive post-modern"" philosophy to create an ""ecological civilization""?",In order to address the challenges of modernization and industrialization,0,72
22,310,"A governing territorial council was elected for its administration , which has provided the island with a certain degree of autonomy .",For what purpose was A governing territorial council elected ?,"for its administration , which has provided the island with a certain degree of autonomy",44,131
23,972,"However , the federal government rejected the version of a commonwealth that the government of Guam proposed , due to it having clauses incompatible with the Territorial Clause ( Art .",Why did the government of Guam propose a commonwealth ?,due to it having clauses incompatible with the Territorial Clause ( Art,111,181
24,583,"Unlike immigrants from British colonies in the West Indies , the latter immigrants have had greater difficulty in becoming permanent residents as they lacked British citizenship , mostly spoke no English , and required renewal of work permits to remain beyond an initial period .",Why did the latter immigrants have greater difficulties in settling permanently than the immigrants from British colonies in the West Indies?,"as they lacked British citizenship , mostly spoke no English , and required renewal of work permits to remain beyond an initial period",143,276
25,417,"As a result of their culture policies , North Indian music and dance gained popularity during the rule of the Mughals and Nizams , and it was also during their reign that it became a tradition among the nobility to associate themselves with tawaif ( courtesans ) .",Why did North Indian music and dance become popular during the reign of the Mughals and Nizams?,As a result of their culture policies,0,36
26,639,Reptiles such as adders and vipers live up to the snow line ; because they can not bear the cold temperatures they hibernate underground and soak up the warmth on rocky ledges .,Why do they soak the warmth on rocky ledges?,because they can not bear the cold temperatures,62,108
27,804,""" The amount of time that [ Minority Leader ] Gephardt is putting in to help the DCCC [ Democratic Congressional Campaign Committee ] is unheard of , "" noted a Democratic lobbyist .",What is Gephardt [minority leader] for?,to help the DCCC [ Democratic Congressional Campaign Committee ],69,132
28,597,"This provided better compatibility with non - Apple machines , as most of them did not have FireWire ports at the time .",Why has this led to better compatibility with non-Apple machines?,as most of them did not have FireWire ports at the time,63,117
29,169,"According to the traditional Chinese system , however , there are 7 to 9 "" tones"",[citation needed ] more correctly termed tone classes since two of them are non - phonemic "" entering tones "" ( see the discussion on Chinese tone ) .","Why match 7 to 9 ""tones,"" [quote required] correctly designated tone classes according to the traditional Chinese system?","since two of them are non - phonemic "" entering tones "" ( see the discussion on Chinese tone",136,227
30,789,"Charles Lyell recognised the implications of Wallace 's paper and its possible connection to Darwin 's work , although Darwin did not , and in a letter written on 1 - 2 May 1856 Lyell urged Darwin to publish his theory to establish priority .",To what end did Darwin publish his theory?,to establish priority,219,239
31,609,"These men came to London to become authors , only to discover that the literary market simply could not support large numbers of writers , who , in any case , were very poorly remunerated by the publishing - bookselling guilds .",To what end did these men come to London only to discover that the literary market was simply incapable of supporting a large number of writers who were already very poorly paid by the publishing company - the book trade guilds?,to become authors,25,41
32,419,""" Because the operating system was designed largely around the GUI , existing text - mode and command - driven applications had to be redesigned and the programming code rewritten .",What was the purpose of the applications?,command,94,100
33,440,"One semifinalist , Delano Cagnolatti , was disqualified for lying to evade the show 's age limit .","Why was a semi-finalist, Delano Cagnolatti, disqualified?",for lying to evade the show 's age limit,56,95
34,296,"Should prove effective as a large poster "" because "" in hundreds of thousands of cases a really striking emblem may be the first cause of awakening interest in a movement .",Why Should effective as a large poster prove ?,"because "" in hundreds of thousands of cases a really striking emblem may be the first cause of awakening interest in a movement",43,169
35,902,"The early persecuted Muslims fled to various places in the region , including the city of Zeila in modern - day northern Somalia , so as to seek protection from the Quraysh .","To what end did the early persecuted Muslims flee to various places in the region, including the town of Zeila in what is now northern Somalia?",so as to seek protection from the Quraysh,131,171
36,53,"More than 9 million soldiers died on the various battlefields , and nearly that many more in the participating countries ' home fronts on account of food shortages and genocide committed under the cover of various civil wars and internal conflicts .",Why did more than 9 million soldiers die on the various battlefields?,on account of food shortages and genocide committed under the cover of various civil wars and internal,135,236
37,937,"In response , Lee Cheuk Yan , vice chairman of the Hong Kong Alliance in Support of Patriotic Democratic Movements in China , said , "" It 's outrageous that the government is willing to sacrifice the image of Hong Kong because of the torch relay .",Why is the government sacrificing Hong Kong's image?,because of the torch relay,219,244
38,816,"Because neither Korea had a significant navy , the Korean War featured few naval battles .",Why were there few naval battles in the Korean War?,Because neither Korea had a significant navy,0,43
39,792,"For example , Yerkes analyzed chimpanzee sexual behavior in hopes of illuminating the evolutionary underpinnings of human development and providing information that could ameliorate dysfunction .",To what end did Yerkes analyze the sexual behavior of chimpanzees?,in hopes of illuminating the evolutionary underpinnings of human development and providing information that could ameliorate dysfunction,57,192
40,684,"In 1799 , English Freemasonry almost came to a halt due to Parliamentary proclamation .",Why did English Freemasonry come to a halt almost in 1799?,due to Parliamentary proclamation,52,84
41,857,Kings sometimes divided power equally between two or more ministers to prevent one minister from becoming too powerful .,To what end did kings sometimes divide power evenly between two or more ministers?,to prevent one minister from becoming too powerful,68,117
42,608,A new generation of clubs such as Liverpool 's Cream and the Ministry of Sound were opened to provide a venue for more commercial sounds .,To what end have a new generation of clubs like Liverpool's Cream and the Ministry of Sound opened?,to provide a venue for more commercial sounds,91,135
43,131,"Attempts at using normal telephony networks to transmit slow - scan video , such as the first systems developed by AT&T Corporation , first researched in the 1950s , failed mostly due to the poor picture quality and the lack of efficient video compression techniques .","Why have attempts to use regular telephone networks to transmit slow-scan video, such as the first systems developed by AT & T Corporation that were first explored in the 1950s, failed?",mostly due to the poor picture quality and the lack of efficient video compression techniques,173,265
44,681,"On the other hand , Jews rarely faced martyrdom or exile , or forced compulsion to change their religion , and they were mostly free in their choice of residence and profession .",To what end did Jews enforce coercion?,to change their religion,80,103
45,136,"Opponents of the Endangered Species Act argue that with over 2,000 endangered species listed , and only 28 delisted due to recovery , the success rate of 1 % over nearly three decades proves that there needs to be serious reform in their methods to actually help the endangered animals and plants .",What is the purpose of a serious reform of their methods?,to actually help the endangered animals and plants,246,295
46,78,"While its fellow Canadian broadcasters converted most of their transmitters to digital by the Canadian digital television transition deadline of August 31 , 2011 , CBC converted only about half of the analogue transmitters in mandatory areas to digital ( 15 of 28 markets with CBC Television stations , and 14 of 28 markets with Television de Radio - Canada stations ) .",Why have his Canadian broadcasters turned most of their channels into digital?,"by the Canadian digital television transition deadline of August 31 , 2011",87,160
47,535,"Eight times a year , the 12-person Federal Open Market Committee meet to determine U.",What is the purpose of the < br > - @ person Federal Open Market Committee meeting eight times a year?,to determine U.,70,84
48,905,"The height of the minuscules varies , as some of them have parts higher or lower than the average , i.",Why does the height of the minus figures vary?,as some of them have parts higher or lower than the average,38,96
49,884,"She objected on the grounds of the King 's disapproval , but her mother dismissed his complaints as motivated by jealousy , and forced Victoria to continue the tours .",Why did it object?,on the grounds of the King 's disapproval,13,53
50,630,The Rodeo Parade is a popular event as most schools give two rodeo days off instead of Presidents Day .,Why is The Rodeo Parade a popular event?,as most schools give two rodeo days off instead of Presidents Day,36,100
51,536,"Howard Kendall was appointed Everton manager for the third time in 1997 , but the appointment proved unsuccessful as Everton finished seventeenth in the Premiership ; only avoiding relegation due to their superior goal difference over Bolton Wanderers .",Why has relegation been avoided?,due to their superior goal difference over Bolton Wanderers,192,250
52,554,"Sun Yet - sen spoke highly of Nanjing in the "" Constructive Scheme for Our Country "" , "" The position of Nanjing is wonderful since mountains , lakes and plains all integrated in it .",Why is the location of Nanjing wonderful?,"since mountains , lakes and plains all integrated in it",126,180
53,107,"Italy became a major industrialized country again , due to its post - war economic miracle .",Why did Italy become a major industrial country again?,due to its post - war economic miracle,52,89
54,457,Regulations may also limit or ban the use of lead in ammunition because of environmental concerns .,Why can regulations also restrict the use of lead in ammunition?,because of environmental concerns,64,96
55,471,"In the Battle of Cowan 's Ford , Cornwallis met resistance along the banks of the Catawba River at Cowan 's Ford on February 1 , 1781 , in an attempt to engage General Morgan 's forces during a tactical withdrawal .","Cornwallis was killed in the Battle of Cowan's Ford in the Battle of Cowan's Ford in the Battle of Cowan's Ford on February 1, 1781.",in an attempt to engage General Morgan 's forces during a tactical withdrawal,136,212
56,897,"During and after World War II , when shellac supplies were extremely limited , some 78 rpm records were pressed in vinyl instead of shellac , particularly the six - minute 12-inch ( 30 cm ) 78 rpm records produced by V - Disc for distribution to United States troops in World War II .",For what purpose did by V - Disc produce the six - minute 12-inch ( 30 cm ) 78 rpm records ?,for distribution to United States troops in World War II,226,281
57,127,The mammalian brain invested heavily in olfaction to succeed at night as reptiles slept — one explanation for why olfactory lobes in mammalian brains are proportionally larger than in the reptiles .,Why are olfactory lobes proportionally larger in the brains of mammals than in reptiles?,why,110,112
58,115,"Sometimes two elevators are built so that their cars always move synchronously in opposite directions , and are each other 's counterweight .",What is the purpose of sometimes building two lifts?,"so that their cars always move synchronously in opposite directions , and are each other 's counterweight",34,138
59,317,"In fact , it is sometimes difficult to draw a clear line between agricultural and hunter - gatherer societies , especially since the widespread adoption of agriculture and resulting cultural diffusion that has occurred in the last 10,000 years .",Why is to draw a clear line between agricultural and hunter - gatherer societies difficult sometimes ?,"especially since the widespread adoption of agriculture and resulting cultural diffusion that has occurred in the last 10,000 years",112,242
60,673,"In Arabia , Bahrain , which was referred to by the Greeks as Tylos , the centre of pearl trading , when Nearchus came to discover it serving under Alexander the Great .",To what end has Nearchus come?,to discover it serving under Alexander the Great,118,165
61,14,"However , the debate has deepened over budgeting for the $ 12 - 14 .",Why has the debate deepened?,over budgeting for the $ 12 - 14,34,65
62,503,"Governance in the norm is by majority rule , however , Northern Ireland uses a system of power sharing whereby unionists and nationalists share executive posts proportionately and where the assent of both groups are required for the Northern Ireland Assembly to make certain decisions .",To what end does the agreement of both groups require a system?,for the Northern Ireland Assembly to make certain decisions,225,283
63,505,"Since incandescent lamps are resistive loads , simple phase - control TRIAC dimmers can be used to control brightness .",Why can the brightness be regulated with simple TRIAC dimmers?,Since incandescent lamps are resistive loads,0,43
64,58,Territorial reform is sometimes propagated by the richer states as a means to avoid or reduce fiscal transfers .,To what end do the richer countries sometimes promote territorial reforms?,as a means to avoid or reduce fiscal transfers,64,109
65,216,"For his bravery in the face of the enemy , he was recommended for the Silver Bravery Medal but was taken prisoner of war before it could be formally presented .",Why was he recommended for the Silver Bravery Medal?,For his bravery in the face of the enemy,0,39
66,834,Also construction of an underground rail system was begun in 1968 in order to help curb air pollution problems and alleviate traffic congestion .,To what end was the construction of an underground railway system started in 1968?,in order to help curb air pollution problems and alleviate traffic congestion,66,142
67,845,"Upon her inauguration , Sirleaf requested the extradition of Taylor from Nigeria and transferred him to the SCSL for trial in The Hague .",To what end did Sirleaf entrust it to the SCSL after its inauguration?,for trial in The Hague,113,134
68,205,"Twice each year , Witnesses from a number of congregations that form a "" circuit "" gather for a one - day assembly .","To what end do witnesses from a number of congregations who form a ""cycle"" gather twice a year?",for a one - day assembly,90,113
69,44,"The 1916 Zoning Resolution required setbacks in new buildings , and restricted towers to a percentage of the lot size , to allow sunlight to reach the streets below .",To what end did the zoning of 1916 require setbacks in new construction?,to,79,80
70,197,"Into the first half of the twentieth century after the establishment of ROC , Nanjing gradually shifted from being a production hub towards being a heavy consumption city , mainly because of the rapid expansion of its wealthy population after Nanjing once again regained the political spotlight of China .","Why, after the founding of the People's Republic of China, did Nanjing gradually become a consumerist metropolis in the first half of the twentieth century?",mainly because of the rapid expansion of its wealthy population after Nanjing once again regained the political spotlight of China,173,302
71,985,"The formality of their stance seems to be related with the Egyptian precedent , but it was accepted for a good reason .",Why was it accepted ?,for a good reason,100,116
72,386,Stationery ) are housed ; originally these were organized to accommodate vendors formerly selling on the street ; or simply from improvised stalls on a city sidewalk .,To what end were they originally organised?,to accommodate vendors formerly selling on the street,58,110
73,625,"Several proposals have been raised to adjust the work week with the majority of the world , and make Sunday a non - working day , while extending working time of other days or replacing Friday with Sunday as a work day .",To what end have several proposals been made?,"to adjust the work week with the majority of the world , and make Sunday a non - working day , while extending working time of other days or replacing Friday with Sunday as a work day",35,217
74,278,"The mas bands eventually converge on the Queen 's Park Savannah to pass on "" The Stage "" for judging .",For what purpose do The mas bands converge on the Queen 's Park Savannah eventually ?,"to pass on "" The Stage "" for judging",64,99
75,883,"The referendum turned out in favour of a continued association with France , largely due to a combined yes vote by the sizable Afar ethnic group and resident Europeans .",Why has the referendum turned in favour of continued association with France?,largely due to a combined yes vote by the sizable Afar ethnic group and resident Europeans,77,166
76,680,"If the compensation system uses cables , there will be an additional sheave in the pit below the elevator , to guide the cables .",What is the use of additional scissors if the compensation system uses cables in the pit below the elevator?,to guide the cables,108,126
77,375,"The series finale reintroduces the heroes of the previous five seasons as they all come together and help the current heroes in the final battle due to the fact that the DigiQuartz is essentially a tear in Space and Time , allowing all of the Digimon universes to converge .",Why do they all help in the final battle of the current heroes?,"due to the fact that the DigiQuartz is essentially a tear in Space and Time , allowing all of the Digimon universes to converge",145,271
78,859,"Victoria and Albert attended the opening of a new basin at the French military port of Cherbourg on 5 August 1858 , in an attempt by Napoleon III to reassure Britain that his military preparations were directed elsewhere .",Why did Victoria and Albert attend the opening of a new basin in the French military port of Cherbourg on 5 August 1858?,in an attempt by Napoleon III to reassure Britain that his military preparations were directed elsewhere,116,219
79,470,"To show support for Turkey after the battle of Sinop , on the 22th of December 1853 , the Anglo - French squadron entered the Black Sea and the steamship HMS Retribution approached the Port of Sevastopol , the commander of which received an ultimatum not to allow any ships in the Black Sea .",For what purpose did the English - French squadron enter the Black Sea on 22 December 1853?,To show support for Turkey after the battle of Sinop,0,51
80,675,""" The Missouri law permitted the local sheriff to distribute passes to individuals ( usually local citizens ) whom he believed should witness the hanging , but the sheriffs - for various reasons - sometimes denied passes to individuals who wanted to watch .",Why did the sheriffs deny passports to people who wanted to watch?,for various reasons,175,193
81,132,"Ottens , director of the audio division of Philips , started a small group with the aim to develop an analog optical audio disc with a diameter of 20 cm and a sound quality superior to that of the vinyl record .","To what end has Ottens, Director of Philips ""Audio Division, founded a small group?",with the aim to develop an analog optical audio disc with a diameter of 20 cm and a sound quality superior to that of the vinyl record,75,208
82,791,"From that moment Galicia , which participated to a minor extent in the American expansion of the Spanish Empire , found itself at the center of the Atlantic wars fought by Spain against the French and the Protestant powers of England and the Netherlands , whose privateers attacked the coastal areas , but major assaults were not common as the coastline was difficult and the harbors easily defended .",Why were there no major attacks?,as the coastline was difficult and the harbors easily defended,337,398
83,185,"In addition , because we are finite beings , we can not possibly know or understand anything that is universal or infinite such as God , so we can not know God exists , since that which transcends time simultaneously transcends human understanding .",Why can we not know anything universal or infinite like God?,because we are finite beings,14,41
84,849,"New features and functionality in Windows 8 include a faster startup through UEFI integration and the new "" Hybrid Boot "" mode ( which hibernates the Windows kernel on shutdown to speed up the subsequent boot ) , a new lock screen with a clock and notifications , and the ability for enterprise users to create live USB versions of Windows ( known as Windows To Go ) .","For what purpose does the new "" Hybrid Boot "" mode hibernate the Windows kernel on shutdown ?",to speed up the subsequent boot,177,207
85,49,"Because of this , many tribes encouraged marriage between the two groups , to create stronger , healthier children from the unions .","To what end, therefore, have many tribes promoted marriage between the two groups?","to create stronger , healthier children from the unions",75,129
86,6,"Soon , the Philadelphia and Atlantic City Railway was also constructed to transport tourists to Atlantic City .",What was the purpose of the Philadelphia and Atlantic City Railways?,to transport tourists to Atlantic City,71,108
87,831,"While the game itself must be programmed to take advantage of the 3D technology , titles may be patched to add in the functionality retroactively .",To what end can titles be patched while the game itself needs to be programmed to take advantage of 3D technology?,to add in the functionality retroactively,104,144
88,922,Arsenic was used as a poison during the era because it was undetectable when administered over a long period .,Why was arsenic used as a poison at that time?,because it was undetectable when administered over a long period,44,107
89,199,"On 27 June , the ICC issued arrest warrants for Gaddafi , his son Saif al - Islam , and his brother - in - law Abdullah Senussi , head of state security , for charges concerning crimes against humanity .","To what end did the ICC issue arrest warrants on 27 June against Gaddafi, his son Saif al-Islam, and his brother-in-law Abdullah Senussi, the head of state security?",for charges concerning crimes against humanity,155,200
90,621,"Due to extreme variation in elevation , great variation occurs in the climatic conditions of Himachal .",Why do great variations occur in the climatic conditions of Himachal?,Due to extreme variation in elevation,0,36
91,202,Two aerials were rotated for the two converging beams which were pointed to cross directly over the target .,For what purpose were the two converging rays shown?,to cross directly over the target,73,105
92,157,"He was provided with generous revenues : "" For the services that I have done and do daily , being employed in the Emperor 's service , the Emperor has given me a living "" ( Letters ) .",For what purpose did the emperor live me?,For the services that I have done and do daily,43,88
93,654,"Hunting wildlife or feral animals is most commonly done by humans for food , recreation , to remove predators which are dangerous to humans or domestic animals , or for trade .",For what purpose is done by man hunting wildlife or wild animals most commonly?,"for food , recreation , to remove predators which are dangerous to humans or domestic animals , or for trade",66,173
94,232,Buildings like hospitals and nursing homes usually size their emergency generators to accommodate this draw .,For what purpose are buildings such as hospitals and nursing homes usually the size of their emergency generators?,to accommodate this draw,83,106
95,953,"The antenna array and very similar reflective array antenna consist of multiple elements , often half - wave dipoles , spaced out on a plane and wired together with transmission lines with specific phase lengths to produce a single in - phase signal at the output .","For what purpose did multiple elements , often half - wave dipoles wire together together ?",to produce a single in - phase signal at the output,212,262
96,70,"Therefore , to help standardize guidelines , recommendations for water consumption are included in two recent European Food Safety Authority ( EFSA ) documents ( 2010 ) : ( i ) Food - based dietary guidelines and ( ii ) Dietary reference values for water or adequate daily intakes ( ADI ) .",To what end are recommendations on water consumption contained in two recent European Food Safety Authority (EFSA) (2010) documents: (i) Dietary Guidelines and (ii) Nutritional Indicators for Water or Adequate Daily Intake (FDI)?,to help standardize guidelines,12,41
97,710,"As a result of its devoted format to classic feature films , viewers that are interested in tracing the career development of actresses such as Barbara Stanwyck or Greta Garbo or actors like Cary Grant or Humphrey Bogart have the unique opportunity to see most of the films that were made during their careers , from beginning to end .","Why do viewers who want to follow the career development of actresses such as Barbara Stanwyck or Greta Garbo, or actors such as Cary Grant or Humphrey Bogart, have the unique opportunity to see most of the films made during their careers from start to finish?",As a result of its devoted format to classic feature films,0,57
98,126,The mammalian brain invested heavily in olfaction to succeed at night as reptiles slept — one explanation for why olfactory lobes in mammalian brains are proportionally larger than in the reptiles .,To what end did the mammalian brain invest heavily in odor?,to succeed at night as reptiles slept,50,86
99,443,"The dates are generalizations , since the periods and eras overlap and the categories are somewhat arbitrary , to the point that some authorities reverse terminologies and refer to a common practice "" era "" comprising baroque , classical , and romantic "" periods "" .",Why are the data generalizations?,"since the periods and eras overlap and the categories are somewhat arbitrary , to the point that some authorities reverse terminologies and refer to a common practice "" era "" comprising baroque , classical , and romantic "" periods """,32,263
100,409,"This may be attributed to recent changing social and political views towards marijuana ; issues such as medicinal use and legalization have tended towards painting the drug in a more positive light than historically , while cigarettes continue to be vilified due to associated health risks .",Why are cigarettes vilified?,due to associated health risks,259,288
101,3,The closing ceremony at Justin Herman Plaza was canceled due to the presence of large numbers of protesters at the site .,Why was the closing ceremony at Justin Herman Plaza cancelled?,due to the presence of large numbers of protesters at the site,57,118
102,657,"United States , the court ruled that due to the 1934 law , evidence the FBI obtained by phone tapping was inadmissible in court .",Why was evidence obtained by the FBI from phone tapping inadmissible in court?,due to the 1934 law,37,55
103,995,"Some Muslims oppose this charge , and instead declare that the media in these countries presses on women to reveal too much in order to be deemed attractive , and that this is itself sexist and oppressive .",For what purpose does the media in these countries reveal too much ?,in order to be deemed attractive,124,155
104,582,"The government exerts greater control over broadcast media than print media , especially due to finance and licensing .",Why does the government have greater control over the broadcast media than the print media?,especially due to finance and licensing,78,116
105,414,She took further lessons from guitarist Monte Pittman to improve her guitar skill .,To what end did she take further lessons from guitarist Monte Pittman?,to improve her guitar skill,54,80
106,311,"During the week Gaddafi slept in a mosque , and at weekends walked 20 miles to visit his parents .",For what purpose did Gaddafi walk 20 miles during the week during the week ?,to visit his parents,76,95
107,913,"Gaddafi was infuriated that Egypt had not done more to prevent the incident , and in retaliation planned to destroy the RMS Queen Elizabeth 2 , a British ship chartered by American Jews to sail to Haifa for Israel 's 25th anniversary .",To what end has Egypt not done more?,to prevent the incident,52,74
108,1001,""" James further claims that "" we feel sad because we cry , angry because we strike , afraid because we tremble , and neither we cry , strike , nor tremble because we are sorry , angry , or fearful , as the case may be .",Why do we cry ?,because we,42,51
109,880,"As a ruse to rally opposition against a return to the pre-1952 order , the RCC decreed an end to restrictions on monarchy - era parties and the Free Officers ' withdrawal from politics .",To what end did the RCC enact an end to the limitations of monarchy - parties from the era and the withdrawal of the Free Officers from politics?,As a ruse to rally opposition against a return to the pre-1952 order,0,67
110,805,"This mission area includes : operations conducted to protect friendly space capabilities from attack , interference , or unintentional hazards ( defensive space control ) ; operations to deny an adversary 's use of space capabilities ( offensive space control ) ; and the requisite current and predictive knowledge of the space environment and the operational environment upon which space operations depend ( space situational awareness ) "" ( JP 1 - 02 ) .",What was the purpose of the operations?,"to protect friendly space capabilities from attack , interference , or unintentional hazards ( defensive space control ) ; operations to deny an adversary 's use of space capabilities ( offensive space control )",50,260
111,442,""" Wide prosecutorial discretion remains because of overly broad criteria .",Why is there a broad discretion under criminal law?,because of overly broad criteria,40,71
112,382,"According to the commentators , Virgil received his first education when he was five years old and he later went to Cremona , Milan , and finally Rome to study rhetoric , medicine , and astronomy , which he soon abandoned for philosophy .","To what end did he soon renounce rhetoric, medicine, and astronomy?",for philosophy,222,235
113,272,"Meanwhile , the Ottoman Sultan negotiated with Mehmet Ali of Egypt , who agreed to send his son Ibrahim Pasha to Greece with an army to suppress the revolt in return for territorial gain .",For what purpose do the revolt suppress ?,in return for territorial gain,156,185
114,904,"By 1880 , the population had quadrupled , mainly because of the great European immigration .",Why did the population quadruple by 1880?,mainly because of the great European immigration,42,89
115,676,"In 1980 , when the stadium was in need of redesign to meet UEFA criteria , the club raised money by offering supporters the opportunity to inscribe their name on the bricks for a small fee .",For what purpose did the stadium have to be rebuilt in 1980?,to meet UEFA criteria,51,71
116,956,"During the middle Ordovician Period ( about 496 - 440 Ma ) , a change in plate motions set the stage for the first Paleozoic mountain - building event ( Taconic orogeny ) in North America .",For what purpose did a change in plate motions set the stage during the middle Ordovician Period ( about 496 - 440 Ma ) ?,for the first Paleozoic mountain - building event ( Taconic orogeny ) in North America,101,186
117,155,"Albon Man , a New York lawyer , started Electro - Dynamic Light Company in 1878 to exploit his patents and those of William Sawyer .","In 1878, New York lawyer Albon Man founded the Electro - Dynamic Light Company.",to exploit his patents and those of William Sawyer,80,129
118,430,John 's attempt to defeat Philip in 1214 failed due to the French victory over John 's allies at the battle of Bouvines .,Why did John's attempt to defeat Philip in 1214 fail?,due to the French victory over John 's allies at the battle of Bouvines,48,118
119,75,About this time the Persians made a semi - secret agreement to remain neutral in exchange for the cancellation of the indemnity from the previous war .,Why do the Persians remain neutral?,in,67,68
120,243,"Similarly , the Constitution Act 1986 reformed the constitution of New Zealand to sever its constitutional link with Britain , and the Australia Act 1986 severed the constitutional link between Britain and the Australian states .",To what end did the 1986 Constitutional Act reform the New Zealand Constitution?,to sever its constitutional link with Britain,79,123
121,427,"Since their expression is constant , housekeeping genes are used as experimental controls when analysing gene expression .",Why are household genes used as an experimental control in the analysis of gene expression?,Since their expression is constant,0,33
122,488,"The Greek kingdom of Bactria began as a breakaway satrapy of the Seleucid empire , which , because of the size of the empire , had significant freedom from central control .",Why did the Seleucid Empire have considerable freedom from central control?,because of the size of the empire,91,123
