Text,Question,Answer,Template
"To assess intensity , the patient may be asked to locate their pain on a scale of 0 to 10 , with 0 being no pain at all , and 10 the worst pain they have ever felt .","To what end can they locate their pain on a scale of 0 to 10, where 0 is no pain at all, and 10 is the worst pain they have ever felt, put to the patient?","To assess intensity","AmPncQgTemplate"
"Mongols were forbidden by the Qing from crossing the borders of their banners , even into other Mongol Banners and from crossing into neidi ( the Han Chinese 18 provinces ) and were given serious punishments if they did in order to keep the Mongols divided against each other to benefit the Qing .","To what end have they done this?","in order to keep the Mongols divided against each other to benefit the Qing","AmPncQgTemplate"
"Mongols were forbidden by the Qing from crossing the borders of their banners , even into other Mongol Banners and from crossing into neidi ( the Han Chinese 18 provinces ) and were given serious punishments if they did in order to keep the Mongols divided against each other to benefit the Qing .","Why are the Mongols divided against each other?","to benefit the Qing","AmPncQgTemplate"
"However , this level of investigation is not performed due to COPD and asthma sharing similar principles of management : corticosteroids , long acting beta agonists , and smoking cessation .","Why not apply similar management principles to this type of study: corticosteroids, long-acting beta-agonists, and smoking cessation?","due to COPD and asthma","AmCauQgTemplate"
"However , the debate has deepened over budgeting for the $ 12 - 14 .","Why has the debate deepened?","over budgeting for the $ 12 - 14","AmCauQgTemplate"
"Crossbows , which had been known in Late Antiquity , increased in use partly because of the increase in siege warfare in the 10th and 11th centuries .","Why did crossbows, as they were known in late antiquity, increase?","partly because of the increase in siege warfare in the 10th and 11th centuries","AmCauQgTemplate"
"When a massive slave revolt planned by Denmark Vesey , a free black , was revealed in May 1822 , whites reacted with intense fear , as they were well aware of the violent retribution of slaves against whites during the Haitian Revolution .","Why did whites react with great fear when a massive slave revolt planned by Denmark Vesey, a free black man, was uncovered in May 1822?","as they were well aware of the violent retribution of slaves against whites during the Haitian Revolution","AmCauQgTemplate"
"5-inch ( 114 mm ) gun in a twin turret , which the army adopted in simplified single - gun mountings for static positions , mostly around ports where naval ammunition was available .","To what end has the Army deployed a twin turret in simplified single-rifle fortifications?","for static positions","AmPncQgTemplate"
"Humbert was a great lover of languages , and encouraged linguistic studies among the Dominicans , primarily Arabic , because of the missionary work friars were pursuing amongst those led astray or forced to convert by Muslims in the Middle East .","Why was Humbert a great lover of languages?","because of the missionary work friars were pursuing amongst those led astray or forced to convert by Muslims in the Middle East","AmCauQgTemplate"
"Humbert was a great lover of languages , and encouraged linguistic studies among the Dominicans , primarily Arabic , because of the missionary work friars were pursuing amongst those led astray or forced to convert by Muslims in the Middle East .","Humbert was a gifted natural scientist and philosopher. He is considered one of the founders of modern linguistics.","because of the missionary work friars were pursuing amongst those led astray or forced to convert by Muslims in the Middle East","AmCauQgTemplate"
"Some historians argue that Napoleon III also sought war , particularly for the diplomatic defeat in 1866 in leveraging any benefits from the Austro - Prussian War , and he believed he would win a conflict with Prussia .","To what end does Napoleon III seek war?","particularly for the diplomatic defeat in 1866 in leveraging any benefits from the Austro - Prussian War","AmPncQgTemplate"
"These branches were so pliable that they bent down to allow the lambs to feed when they are hungrie [ sic ] .","To what end did they bow?","to allow the lambs to feed when they are hungrie [ sic ]","AmPncQgTemplate"
"Military has purchased clusters of PS3 units for research purposes .","To what end did the military buy clusters of PS3 units?","for research purposes","AmPncQgTemplate"
"Companies locate in the Portuguese science parks to take advantage of a variety of services ranging from financial and legal advice through to marketing and technological support .","To what end are companies located in the Portuguese Science Parks?","to take advantage of a variety of services ranging from financial and legal advice through to marketing and technological support","AmPncQgTemplate"
"Dolphus Raymond has been exiled by society for taking a black woman as his common - law wife and having interracial children ; Mayella Ewell is beaten by her father in punishment for kissing Tom Robinson ; by being turned into a non - person , Boo Radley receives a punishment far greater than any court could have given him .","Why was Dolphus Raymond exiled by the Society?","for taking a black woman as his common - law wife and having interracial children","AmCauQgTemplate"
"Dolphus Raymond has been exiled by society for taking a black woman as his common - law wife and having interracial children ; Mayella Ewell is beaten by her father in punishment for kissing Tom Robinson ; by being turned into a non - person , Boo Radley receives a punishment far greater than any court could have given him .","Why is Mayella Ewell beaten by her father?","for kissing Tom Robinson","AmCauQgTemplate"
"2650 - 2600 BC ) , who said , "" Do not lessen the time of following desire , for the wasting of time is an abomination to the spirit .","Why has the time of subsequent desire not diminished?","for the wasting of time is an abomination to the spirit","AmCauQgTemplate"
"Under New York State 's gradual abolition act of 1799 , children of slave mothers were born to be eventually liberated but were held in indentured servitude until their mid - to - late twenties .","To what end were children born to slave mothers born in 1799 after the gradual abolition of slavery by the State of New York?","to be eventually liberated","AmPncQgTemplate"
"Martin Luther , who initiated the Protestant Reformation , said : "" Mother Mary , like us , was born in sin of sinful parents , but the Holy Spirit covered her , sanctified and purified her so that this child was born of flesh and blood , but not with sinful flesh and blood .","To what end has the Holy Spirit covered them?","so that this child was born of flesh and blood , but not with sinful flesh and blood","AmPncQgTemplate"
"Martin Luther , who initiated the Protestant Reformation , said : "" Mother Mary , like us , was born in sin of sinful parents , but the Holy Spirit covered her , sanctified and purified her so that this child was born of flesh and blood , but not with sinful flesh and blood .","To what end has the Holy Spirit sanctified them?","so that this child was born of flesh and blood , but not with sinful flesh and blood","AmPncQgTemplate"
"Martin Luther , who initiated the Protestant Reformation , said : "" Mother Mary , like us , was born in sin of sinful parents , but the Holy Spirit covered her , sanctified and purified her so that this child was born of flesh and blood , but not with sinful flesh and blood .","To what end has the Holy Spirit purified them?","so that this child was born of flesh and blood , but not with sinful flesh and blood","AmPncQgTemplate"
"Generally , contract law in transactions involving the sale of goods has become highly standardized nationwide as a result of the widespread adoption of the Uniform Commercial Code .","Why is contract law on sales of goods being standardised across the country?","as a result of the widespread adoption of the Uniform Commercial Code","AmCauQgTemplate"
"The extensive area covered by urban Melbourne is formally divided into hundreds of suburbs ( for addressing and postal purposes ) , and administered as local government areas 31 of which are located within the metropolitan area .","To what end is the sprawling area of urban Melbourne formally divided into hundreds of suburbs?","for addressing and postal purposes )","AmPncQgTemplate"
"However , to meet international competition , much non - upgraded bitumen is now sold as a blend of multiple grades of bitumen , conventional crude oil , synthetic crude oil , and condensate in a standardized benchmark product such as Western Canadian Select .","For what purpose is much not - upgraded bitumen now sold in a standardized benchmark product such as Western Canadian Select as a blend of multiple varieties of bitumen, conventional crude oil, synthetic crude oil and condensate?","to meet international competition","AmPncQgTemplate"
"For these reasons , culture is a prevalent and powerful presence in the lives of adolescents , and therefore we can not fully understand today 's adolescents without studying and understanding their culture .","Why is culture a widespread and powerful presence in the lives of young people?","For these reasons","AmCauQgTemplate"
"Johnson signed the Voting Rights Act of 1965 , providing for oversight of state practices and enforcement of constitutional voting rights for African Americans and other minorities in order to prevent the discrimination and disenfranchisement that had excluded most of them for decades from the political process .","To what end did Johnson oversee state practices and enforce constitutional voting rights for African Americans and other minorities?","in order to prevent the discrimination and disenfranchisement that had excluded most of them for decades from the political process","AmPncQgTemplate"
"The British Army 's Anti - Aircraft Command was disbanded in March 1955 , but during the 1960s and 1970s the RAF 's Fighter Command operated long - range air -defence missiles to protect key areas in the UK .","To what end did the RAF fighter jet deploy long-range missiles in the 1960s and 1970s?","to protect key areas in the UK","AmPncQgTemplate"
"Notre Dame 's conference affiliations for all of its sports except football and fencing changed in July 2013 as a result of major conference realignment , and its fencing affiliation will change in July 2014 .","Why did Notre Dame's conference relations change in July 2013 to include all sports except football and fencing?","as a result of major conference realignment","AmCauQgTemplate"
"However , since the early 1980s , the reasons for Venezuelan emigration have changed to include hopes of earning a higher salary and due to the economic fluctuations in Venezuela which also promoted an important migration of Venezuelan professionals to the US .","To what end have the reasons for Venezuelan emigration changed since the early 1980s?","to include hopes of earning a higher salary and due to the economic fluctuations in Venezuela which also promoted an important migration of Venezuelan professionals to the US","AmPncQgTemplate"
"In the years following the mid-1930s , Detroit was referred to as the "" City of Champions "" after the Tigers , Lions , and Red Wings captured all three major professional sports championships in a seven - month period of time ( the Tigers won the World Series in October 1935 ; the Lions won the NFL championship in December 1935 ; the Red Wings won the Stanley Cup in April 1936 ) .","Why call it the ""City of Champions"" in the years after the mid-1930s?","after the Tigers , Lions , and Red Wings captured all three major professional sports championships in a seven - month period of time ( the Tigers won the World Series in October 1935 ; the Lions won the NFL championship in December 1935 ; the Red Wings won the Stanley Cup in April 1936 )","AmCauQgTemplate"
"Clearly , much less light is required to illuminate a hallway compared to that needed for a word processing work station .","For what purpose is a hallway needs much less light to illuminate clearly?","compared to that needed for a word processing work station","AmPncQgTemplate"
"He carefully developed a network of people through the length and breadth of India to collect funds and encourage volunteers , travelling widely throughout India attracting a following among pious Muslims .","To what end has he carefully developed a network of people across India?","to collect funds and encourage volunteers , travelling widely throughout India attracting a following among pious Muslims","AmPncQgTemplate"
"Xinjiang , also known as Chinese Turkestan , was subdivided into the regions north and south of the Tian Shan mountains , also known today as Dzungaria and Tarim Basin respectively , but the post of Ili General was established in 1762 to exercise unified military and administrative jurisdiction over both regions .","For what purpose was the post of General Ili established in 1762?","to exercise unified military and administrative jurisdiction over both regions","AmPncQgTemplate"
"The top surface of the glass is subjected to nitrogen under pressure to obtain a polished finish .","For what purpose is the surface of the glass exposed to nitrogen under pressure?","to obtain a polished finish","AmPncQgTemplate"
"The 1916 Zoning Resolution required setbacks in new buildings , and restricted towers to a percentage of the lot size , to allow sunlight to reach the streets below .","To what end did the zoning of 1916 require setbacks in new construction?","to","AmPncQgTemplate"
"The 1916 Zoning Resolution required setbacks in new buildings , and restricted towers to a percentage of the lot size , to allow sunlight to reach the streets below .","To what end did the 1916 zoning limit towers to a percentage of lot size?","to allow sunlight to reach the streets below","AmPncQgTemplate"
"The Netherlands later joined France , and the British were outnumbered on land and sea in a world war , as they had no major allies apart from Indian tribes .","Why were the British outnumbered on land and sea?","as they had no major allies apart from Indian tribes","AmCauQgTemplate"
"The formation of the Isthmus had major consequences on global temperatures , since warm equatorial ocean currents were cut off and an Atlantic cooling cycle began , with cold Arctic and Antarctic waters dropping temperatures in the now - isolated Atlantic Ocean .","Why did the formation of the isthmus have a major impact on global temperatures?","since warm equatorial ocean currents were cut off and an Atlantic cooling cycle began , with cold Arctic and Antarctic waters dropping temperatures in the now - isolated Atlantic Ocean","AmCauQgTemplate"
"Because of this , many tribes encouraged marriage between the two groups , to create stronger , healthier children from the unions .","Why have many tribes promoted marriage between the two groups to create stronger, healthier children from unions?","Because of this","AmCauQgTemplate"
"Because of this , many tribes encouraged marriage between the two groups , to create stronger , healthier children from the unions .","To what end, therefore, have many tribes promoted marriage between the two groups?","to create stronger , healthier children from the unions","AmPncQgTemplate"
"The detached northern part of Lancashire in the Lake District , including the Furness Peninsula and Cartmel , was merged with Cumberland and Westmorland to form Cumbria .","To what end has the detached northern part of Lancashire in the Lake District, including the Furness Peninsula and Cartmel, been merged with Cumberland and Westmorland?","to form Cumbria","AmPncQgTemplate"
"While Guam 's Chamorro culture has indigenous roots , the cultures of both Guam and the Northern Marianas have many similarities with Spanish and Mexican culture due to three centuries of Spanish rule .","Why do the cultures of Guam and the Northern Mariana Islands have many similarities with the Spanish and Mexican cultures, while the Chamorro culture of Guam has indigenous roots?","due to three centuries of Spanish rule","AmCauQgTemplate"
"The fourth and final reason to avoid the use of force was experience ; the British had never attempted to rein in an unruly colony by force , and they did not know if it could be done , let alone accomplished thousands of miles away from home .","Why avoid violence?","The fourth and final reason","AmCauQgTemplate"
"More than 9 million soldiers died on the various battlefields , and nearly that many more in the participating countries ' home fronts on account of food shortages and genocide committed under the cover of various civil wars and internal conflicts .","Why did more than 9 million soldiers die on the various battlefields?","on account of food shortages and genocide committed under the cover of various civil wars and internal","AmCauQgTemplate"
"In France , Voltaire said "" we look to Scotland for all our ideas of civilization .","To what end have we looked to Scotland?","for all our ideas of civilization","AmPncQgTemplate"
"Pitt 's Act was deemed a failure because it quickly became apparent that the boundaries between government control and the company 's powers were nebulous and highly subjective .","Why was failure taken for granted?","because it quickly became apparent that the boundaries between government control and the company 's powers were nebulous and highly subjective","AmCauQgTemplate"
"Because of the sudden loss of the New Orleans franchise , the league announced in October that the beginning of the free agency period would be delayed in order to accommodate a dispersal draft .","Why did the league announce that the start of free agency would be delayed to accommodate a draft in October?","Because of the sudden loss of the New Orleans franchise","AmCauQgTemplate"
"Because of the sudden loss of the New Orleans franchise , the league announced in October that the beginning of the free agency period would be delayed in order to accommodate a dispersal draft .","To what end would the start of the free agency period be delayed?","in order to accommodate a dispersal draft","AmPncQgTemplate"
"Territorial reform is sometimes propagated by the richer states as a means to avoid or reduce fiscal transfers .","To what end do the richer countries sometimes promote territorial reforms?","as a means to avoid or reduce fiscal transfers","AmPncQgTemplate"
"Leopold arranged for Victoria 's mother to invite her Coburg relatives to visit her in May 1836 , with the purpose of introducing Victoria to Albert .","Why did Victoria's mother invite her relatives from Coburg to visit her in May 1836?","with the purpose of introducing Victoria to Albert","AmCauQgTemplate"
"Some LD players could convert NTSC signals to PAL so that most TVs used in Hong Kong could display the LD materials .","To what end could some LD players convert NTSC signals to PAL?","so that most TVs used in Hong Kong could display the LD materials","AmPncQgTemplate"
"To argue why that red flag might be insufficient , Dawkins explains that drives must compete with each other within living beings .","Why is this red flag not enough?","why","AmCauQgTemplate"
"In general , inbreeding is avoided because it leads to a reduction in progeny fitness ( inbreeding depression ) due largely to the homozygous expression of deleterious recessive alleles .","Why is inbreeding generally avoided?","because it leads to a reduction in progeny fitness ( inbreeding depression ) due largely to the homozygous expression of deleterious recessive alleles","AmCauQgTemplate"
"Shooting as practised in Britain , as opposed to traditional hunting , requires little questing for game — around thirty - five million birds are released onto shooting estates every year , some having been factory farmed .","To what end does shooting, as practised in Britain, require little questing, unlike traditional hunting?","for game","AmPncQgTemplate"
"The Reformed churches thus believed in some form of Catholicity , founded on their doctrines of the five solas and a visible ecclesiastical organization based on the 14th and 15th century Conciliar movement , rejecting the papacy and papal infallibility in favor of ecumenical councils , but rejecting the latest ecumenical council , the Council of Trent .","To what end did the Reformed churches reject papacy and papal infallibility?","in favor of ecumenical councils","AmPncQgTemplate"
"In 2004 , the Cubs were a consensus pick by most media outlets to win the World Series .","For what purpose were the Cubans selected by consensus by most media in 2004?","to win the World Series","AmPncQgTemplate"
"In order to explain the common features shared by Sanskrit and other Indo - European languages , many scholars have proposed the Indo - Aryan migration theory , asserting that the original speakers of what became Sanskrit arrived in what is now India and Pakistan from the north - west some time during the early second millennium BCE .","To what end did many scholars propose the Indo-Aryan migration theory?","In order to explain the common features shared by Sanskrit and other Indo - European languages","AmPncQgTemplate"
"In order to reduce negative impacts , it is desirable that pesticides be degradable or at least quickly deactivated in the environment .","To what end are pesticides degradable or at least rapidly deactivated in the environment?","In order to reduce negative impacts","AmPncQgTemplate"
"Several states enacted laws which required executions to be conducted within a "" wall "" or "" enclosure "" to "" exclude public view .","To what end are executions carried out within a ""wall"" or ""enclosure""?","to "" exclude public view","AmPncQgTemplate"
"In a move that apparently surprised many islanders the Chief Minister of Norfolk Island , David Buffett , announced on 6 November 2010 that the island would voluntarily surrender its tax free status in return for a financial bailout from the federal government to cover significant debts .","Why should the island voluntarily give up its tax-free status?","in return for a financial bailout from the federal government to cover significant debts","AmCauQgTemplate"
"Therefore , to help standardize guidelines , recommendations for water consumption are included in two recent European Food Safety Authority ( EFSA ) documents ( 2010 ) : ( i ) Food - based dietary guidelines and ( ii ) Dietary reference values for water or adequate daily intakes ( ADI ) .","To what end are recommendations on water consumption contained in two recent European Food Safety Authority (EFSA) (2010) documents: (i) Dietary Guidelines and (ii) Nutritional Indicators for Water or Adequate Daily Intake (FDI)?","to help standardize guidelines","AmPncQgTemplate"
"Many different technologies have been created to assist hunters , even including iPhone applications .","To what end have many different technologies been developed?","to assist hunters , even including iPhone applications","AmPncQgTemplate"
"Darwin objected to his ideas being used to justify military aggression and unethical business practices as he believed morality was part of fitness in humans , and he opposed polygenism , the idea that human races were fundamentally distinct and did not share a recent common ancestry .","Why are his ideas being used to justify military aggression and unethical business practices?","as he believed morality was part of fitness in humans","AmCauQgTemplate"
"Returned to private ownership , claiming that it faced bleak prospects and would need several years out of the public eye to rebuild its business .","To what end would it take several years out of the public eye?","to rebuild its business","AmPncQgTemplate"
"Dietary fiber consists mainly of cellulose , a large carbohydrate polymer which is indigestible as humans do not have the required enzymes to disassemble it .","Why is a large carbohydrate polymer indigestible?","as humans do not have the required enzymes to disassemble it","AmCauQgTemplate"
"About this time the Persians made a semi - secret agreement to remain neutral in exchange for the cancellation of the indemnity from the previous war .","Why do the Persians remain neutral?","in","AmCauQgTemplate"
"Stickball , a street version of baseball , was popularized by youths in the 1930s , and a street in the Bronx was renamed Stickball Boulevard in the late 2000s to memorialize this .","What was the purpose of renaming a Bronx street Stickball Boulevard in the late 2000s?","to memorialize this","AmPncQgTemplate"
"The university 's swim teams have gained international recognition , with swimmers coming from as far as Japan and Africa to train with the coach Frank Busch who has also worked with the U.","For what purpose do swimmers come as far as Japan and Africa?","to train with the coach Frank Busch who has also worked with the U.","AmPncQgTemplate"
"While its fellow Canadian broadcasters converted most of their transmitters to digital by the Canadian digital television transition deadline of August 31 , 2011 , CBC converted only about half of the analogue transmitters in mandatory areas to digital ( 15 of 28 markets with CBC Television stations , and 14 of 28 markets with Television de Radio - Canada stations ) .","Why have his Canadian broadcasters turned most of their channels into digital?","by the Canadian digital television transition deadline of August 31 , 2011","AmCauQgTemplate"
"89 lb / acre ) crop protection chemical was typically applied , while sulfonylureates allow as little as 1 % as much material to achieve the same effect .","For what purpose did sulfonylureates allow only 1% as much material?","to achieve the same effect","AmPncQgTemplate"
"Taking place during the Meiji Period , Tom Cruise plays the role of US Army Captain Nathan Algren , who travels to Japan to train a rookie army in fighting off samurai rebel groups .","To what end is U.S. Army Capt. Nathan Algren traveling to Japan?","to train a rookie army in fighting off samurai rebel groups","AmPncQgTemplate"
"The news created the greatest consternation in the city of Alexandria itself , and the prefect , in order to prevent a serious outbreak , gave public assurance that the very special case of Athanasius would be laid before the emperor .","To what end did the Prefect give the public assurance that the very special case of Athanasius would be submitted to the Emperor?","in order to prevent a serious outbreak","AmPncQgTemplate"
"An antenna 's bandwidth specifies the range of frequencies over which its performance does not suffer due to a poor impedance match .","Why doesn't his performance suffer from the range?","due to a poor impedance match","AmCauQgTemplate"
"Because of limited highway access , air travel remains the most efficient form of transportation in and out of the state .","Why does air transport remain the most efficient form of transport within and outside the state?","Because of limited highway access","AmCauQgTemplate"
"Dell dropped out of school to focus full - time on his fledgling business , after getting $ 1,000 in expansion - capital from his family .","To what end did Dell drop out of school after receiving $1,000 in expansion funds from his family?","to focus full - time on his fledgling business","AmPncQgTemplate"
"The Revolutionary Committees experienced a resurgence to combat these Islamists .","To what end did the Revolutionary Committees experience a revival?","to combat these Islamists","AmPncQgTemplate"
"Holland Smith , the commander of the invasion force , aimed to capture the island , and utilize its three airfields as bases to carry out air attacks against the Home Islands .","To what end does Holland Smith, the commander of the invading force, use his three airfields as bases?","to carry out air attacks against the Home Islands","AmPncQgTemplate"
"According to legend , she made her kimono out of a quilted patchwork of bits of old cloth and saved pennies to buy her husband a magnificent horse , on which he rode to many victories .","To what end, according to legend, did she save pennies?","to buy her husband a magnificent horse , on which he rode to many victories","AmPncQgTemplate"
"Speech was well received but the Soviets never acted upon it , due to an overarching concern for the greater stockpiles of nuclear weapons in the U.","Why did the Soviets never act on it?","due to an overarching concern for the greater stockpiles of nuclear weapons in the U.","AmCauQgTemplate"
"In their theoretical rules , the Cubist architects expressed the requirement of dynamism , which would surmount the matter and calm contained in it , through a creative idea , so that the result would evoke feelings of dynamism and expressive plasticity in the viewer .","To what end would dynamics overcome matter through a creative idea?","so that the result would evoke feelings of dynamism and expressive plasticity in the viewer","AmPncQgTemplate"
"The 80,000-seat Stade de France , built for the 1998 FIFA World Cup , is located just north of Paris in the commune of Saint - Denis .","What was the purpose of the 80,000-seater Stade de France?","for the 1998 FIFA World Cup","AmPncQgTemplate"
"The London and Bristol Company was created in 1610 with the aim of creating a permanent settlement on Newfoundland , but was largely unsuccessful .","For what purpose was The London and Bristol Company founded in 1610?","with the aim of creating a permanent settlement on Newfoundland","AmPncQgTemplate"
"Students may also continue into the sixth form to complete their A - levels .","To what end can students continue in the sixth form?","to complete their A - levels","AmPncQgTemplate"
"In 2010 , Executive Order 13526 created the National Declassification Center to coordinate declassification practices across agencies , provide secure document services to other agencies , and review records in NARA custody for declassification .","To what end has the National Declassification Center reviewed the records in NARA custody?","for declassification","AmPncQgTemplate"
"The error arose because two bills of the same title had originated from the house .","Why did the error occur?","because two bills of the same title had originated from the house","AmCauQgTemplate"
"Because the 1998 version of ISO 12232 did not permit measurement of camera output that had lossy compression , it was not possible to correctly apply any of those measurements to cameras that did not produce sRGB files in an uncompressed format such as TIFF .","Why was it not possible to apply these measurements correctly to cameras that did not generate sRGB files in an uncompressed format such as TIFF?","Because the 1998 version of ISO 12232 did not permit measurement of camera output that had lossy compression","AmCauQgTemplate"
"In order to remarry , John first needed to abandon Isabel , Countess of Gloucester , his first wife ; John accomplished this by arguing that he had failed to get the necessary papal permission to marry Isabel in the first place - as a cousin , John could not have legally we d her without this .","To what end did John first have to leave Isabel, Countess of Gloucester?","In order to remarry","AmPncQgTemplate"
"She wrote to John Vickers , the OFT director - general , saying , "" They are not a group of businessmen meeting behind closed doors to fix the price of their products to the disadvantage of the consumer .","What is the purpose of a group of businessmen meeting behind closed doors?","to fix the price of their products to the disadvantage of the consumer","AmPncQgTemplate"
"He may have arrived at his positions from a desire to achieve a consistent exegesis of the Buddha 's doctrine as recorded in the Canon .","Why has he perhaps taken his place?","from a desire to achieve a consistent exegesis of the Buddha 's doctrine as recorded in the Canon","AmCauQgTemplate"
"Estimates vary widely because of uncertain exchange rates , but Myanmar 's military forces ' expenses are high .","Why do estimates vary widely?","because of uncertain exchange rates","AmCauQgTemplate"
"In a ' Letter to American People ' written by Osama bin Laden in 2002 , he stated that one of the reasons he was fighting America is because of its support of India on the Kashmir issue .","Why did he fight America?","the reasons","AmCauQgTemplate"
"In his later career he became a high official in the Ottoman Empire , working as Governor of Egypt for the Ottoman khedive for the purpose of conducting campaigns against slavers and slavery in Egypt and the Sudan .","To what end is he working as Egypt's governor for the Ottoman Khedive?","for the purpose of conducting campaigns against slavers and slavery in Egypt and the Sudan","AmPncQgTemplate"
"The intestinal walls are lined with villi , and their epithelial cells is covered with numerous microvilli to improve the absorption of nutrients by increasing the surface area of the intestine .","For what purpose are their epithelial cells covered with numerous microvilli?","to improve the absorption of nutrients by increasing the surface area of the intestine","AmPncQgTemplate"
"Based on population rank , the metropolitan area was the 42nd largest in the nation as of 2012 .","Why was the metropolitan area the 42nd largest in the country since 2012?","Based on population rank","AmCauQgTemplate"
"When this outsourced litigator appears to have no intention of taking any copyright infringement cases to trial , but rather only takes them just far enough through the legal system to identify and exact settlements from suspected infringers , critics commonly refer to the party as a "" copyright troll .","To what end does this outsourced litigation only take them far enough through the legal system?","to identify and exact settlements from suspected infringers","AmPncQgTemplate"
"Innocent benefited from the resolution of his long - standing English problem , but John probably gained more , as Innocent became a firm supporter of John for the rest of his reign , backing him in both domestic and continental policy issues .","Why did John probably win more?","as Innocent became a firm supporter of John for the rest of his reign , backing him in both domestic and continental policy issues","AmCauQgTemplate"
"X ) declared that such synodal decrees are not too severe , as an absolute prohibition of hunting is more conformable to the ecclesiastical law .","Why are such synodal decrees not too strict?","as an absolute prohibition of hunting is more conformable to the ecclesiastical law","AmCauQgTemplate"
"Italy became a major industrialized country again , due to its post - war economic miracle .","Why did Italy become a major industrial country again?","due to its post - war economic miracle","AmCauQgTemplate"
"Vallely and Cameron Kerry maintained that they were only checking their own telephone lines because they had received an anonymous call warning that the Kerry lines would be cut .","Why did they only check their own phone lines?","because they had received an anonymous call warning that the Kerry lines would be cut","AmCauQgTemplate"
"The company has since made additional acquisitions in storage and networking systems , with the aim of expanding their portfolio from offering computers only to delivering complete solutions for enterprise customers .","To what end has the company since then made further acquisitions in storage and network systems?","with the aim of expanding their portfolio from offering computers only to delivering complete solutions for enterprise customers","AmPncQgTemplate"
"Paris has been an international capital of high fashion since the 19th century , particularly in the domain of haute couture , clothing hand - made to order for private clients .","What was the purpose of the clothes?","to order","AmPncQgTemplate"
"Paris has been an international capital of high fashion since the 19th century , particularly in the domain of haute couture , clothing hand - made to order for private clients .","What was the purpose of the clothes?","to order","AmPncQgTemplate"
"In 1984 , he was appointed as a member of the Order of the Companions of Honour ( CH ) by Queen Elizabeth II of the United Kingdom on the advice of the British Prime Minister Margaret Thatcher for his "" services to the study of economics "" .","Why was he appointed a member of the Order of Companions of Honour (CH) by Queen Elizabeth II of the United Kingdom in 1984?","on the advice of the British Prime Minister Margaret Thatcher for his "" services to the study of economics ""","AmCauQgTemplate"
"This study suggests that due to the nature of the scenery and daylight exposure was indeed healthier for patients as opposed to those exposed to little light from the brick wall .","Why was daylight healthier for patients than for people exposed to little light from the brick wall?","due to the nature of the scenery and","AmCauQgTemplate"
"Eisenhower was urged to respond directly and specify the various measures he had taken to purge the government of communists .","To what end has he taken the various measures?","to purge the government of communists","AmPncQgTemplate"
