,Text,Cause,Effect
"(1, 1, 1, 1665)","It depends on the amount of energy that started the waves. Greater amplitude waves have more energy and greater intensity, so they sound louder. As sound waves travel farther from their source, the more spread out their energy becomes.",Greater amplitude waves have more energy and greater intensity,they sound louder .
"(2, 1, 1, 2822)", Potential energy due to an objects shape is called elastic potential energy. This energy results when elastic objects are stretched or compressed.,an objects shape,is called elastic potential energy .
"(2, 1, 1, 2813)",The natural greenhouse effect of Earths atmosphere keeps the planets temperature within a range that can support life. The rise in greenhouse gases due to human actions is too much of a good thing. It increases the greenhouse effect and causes Earths average temperature to rise.,human actions,is too much of a good thing .
"(1, 1, 2, 3166)",It is eager to gain an extra electron to fill its outer energy level and gain stability. Group 16 elements with six valence electrons are almost as reactive for the same reason. Atoms of group 18 elements have eight valence electrons (or two in the case of helium).,Group 16 elements with six valence electrons are almost as reactive,. Atoms of group 18 elements have eight valence electrons -LRB- or two in the case of helium -RRB-
"(1, 1, 1, 3271)","Fluids include liquids and gases. If youve ever tried to push your open hand through the water in a tub or pool, then youve experienced fluid friction between your hand and the water. When a skydiver is falling toward Earth with a parachute, fluid friction between the parachute and the air slows the descent (see Figure 13.14).",youve ever tried to push your open hand through the water in a tub or pool,youve experienced fluid friction between your hand and the water .
"(6, 635)","3. Using this strand of DNA as a template, nucleotides are joined together to make a complementary strand of mRNA. The mRNA contains bases that are complementary to the bases in the DNA strand.",Using this strand of DNA as a template,nucleotides are joined together to make a complementary strand of mRNA .
"(8, 3196)",The pituitary gland will then release a lower amount of ADH into the blood. This means less water will be reabsorbed by the blood. The kidneys then produce a large volume of urine.,The pituitary gland will then release a lower amount of ADH into the blood,less water
"(4, 1834)","Use language, think, learn, and remember. The nervous system works by sending and receiving electrical signals. The main organs of the nervous system are the brain and the spinal cord.",sending and receiving electrical signals,The nervous system works
"(3, 1, 1, 275)","For example, H stands for hydrogen, and Au stands for gold. The vertical columns in the periodic table are known as groups, and elements in groups tend to have very similar properties. The table is also divided into rows, known as periods.","groups , and elements in groups tend to have very similar",The vertical columns in the periodic table are known
"(3, 1, 1, 230)","2. Sediments are deposited horizontally, so sedimentary rock layers are originally horizontal, as are some vol- canic rocks, such as ash falls. 3.","are some vol - canic rocks , such as ash falls .",sedimentary rock layers are originally horizontal
"(1, 1, 3, 679)","Sunlight filters through a thick wedge of atmosphere, making the sunlight much less intense. The high albedo, because of ice and snow, reflects a good portion of the Suns light. ","filters through a thick wedge of atmosphere , making the sunlight much less intense . The high albedo",", reflects a good portion of the Suns light ."
"(3, 1, 1, 2642)"," Humans have changed the natural balance of the carbon cycle because we use coal, oil, and natural gas to supply our energy demands. Fossil fuels are a sink for CO2 when they form, but they are a source for CO2 when they are burned.",we use coal,"oil , and natural gas to supply our energy demands ."
"(1, 3144)","Using these energy resources also produces pollution and increases global warming. For all these reasons, we need to use less of these energy sources. We also need to use them more efficiently.",Using these energy resources also produces pollution and increases global warming,we need to use less of these energy sources .
"(1, 1, 1, 1370)","On average, each year a rock about 5-10 m in diameter hits Earth (Figure 1.3). Since past asteroid impacts have been implicated in mass extinctions, astronomers are always on the lookout for new asteroids, and follow the known near-Earth asteroids closely, so they can predict a possible collision as early as possible. A painting of what an asteroid a few kilometers across might look like as it strikes Earth.","astronomers are always on the lookout for new asteroids , and follow the known near-Earth asteroids closely",they can predict a possible collision as early as possible .
"(13, 564)","Even though large life forms have been very successful on Earth, most of the life forms on Earth today are still prokaryotessmall, relatively simple single-celled organisms. As it is difficult to identify, observe and study such small forms of life, most of these organisms remain unknown to scientists. Advancing technologies, however, do allow for the identification and study of such organisms.",it is difficult to identify,"observe and study such small forms of life, most of these organisms remain unknown to scientists."
"(2, 1, 1, 3245)","A: The modern kinetic theory of matter is remarkably similar to Democritus ideas about the motion of atoms. According to this theory, atoms of matter are in constant random motion. This motion is greater in gases than in liquids, and it is greater in liquids than in solids.",this theory,atoms of matter are in constant random motion .
"(13, 596)","Greater amplitude waves have more energy and greater intensity, so they sound louder. As sound waves travel farther from their source, the more spread out their energy becomes. You can see how this works in the Figure 1.2.",sound waves travel farther from their source,the more spread out their energy becomes.
"(3, 1, 1, 831)","Snowfall is common and snow stays on the ground for long periods of time. Trees grow in continental climates, even though winters are extremely cold, because the average annual temperature is fairly mild. Continental climates are not found in the Southern Hemisphere because of the absence of a continent large enough to generate this effect.",the average annual temperature is fairly mild .,"Trees grow in continental climates , even though winters are extremely cold"
"(11, 3352)",Birds often fly long distances. This is one reason why West Nile virus spread so quickly. ,Birds often fly long distances,West Nile virus spread so quickly .
"(2, 1, 1, 3003)","( Figure below). Through studying fossils, we now know that todays organisms look much different in many cases than those that were alive in the past. Scientists have also shown that organisms were spread out differently across the planet.",studying fossils,", we now know that todays organisms look much different in many cases than those that were alive in the past ."
"(3, 1, 1, 906)"," Osteoporosis is a disease in which the bones become porous and weak because they do not contain enough calcium. The graph in Figure 16.14 shows how the mass of calcium in bone peaks around age 30 and declines after that, especially in women.",they do not contain enough calcium .,Osteoporosis is a disease in which the bones become porous and weak
"(1, 1, 1, 1284)","The symbol comes from the Latin name for potassium, which is kalium. The symbols in the table above would be more useful if they revealed more information about the atoms they represent. For example, it would be useful to know the numbers of protons and neutrons in the atoms.",they revealed more information about the atoms they represent .,The symbols in the table above would be more useful
"(10, 3230)","Many people have problems with their vision, or ability to see. Often, the problem is due to the shape of the eyes and how they focus light. Two of the most common vision problems are nearsightedness and farsightedness, which you can read about below.",the shape of the eyes and how they focus light,the problem
"(5, 76)",The 14 hottest years on record have all occurred since 1900. Eight of them have occurred since 1998! This is what is usually meant by global warming.,1998 ! This is what is usually meant by global warming,Eight of them have occurred
"(2, 1, 1, 1859)"," Momentum can be calculated by multiplying an objects mass in kilograms (kg) by its velocity in meters per second (m/s). For example, assume that a golf ball has a mass of 0.05 kg.",multiplying an objects mass in kilograms -LRB- kg -RRB- by its velocity in meters per second -LRB- m/s -RRB-,Momentum can be calculated
"(1, 1, 1, 1938)","Wetlands also play a key biological role by removing pollutants from water. For example, they can trap and use fertilizer that has washed off a farmers field, and therefore they prevent that fertilizer from contaminating another body of water. Since wetlands naturally purify water, preserving wetlands also helps to maintain clean supplies of water.",", they can trap and use fertilizer that has washed off a farmers field",they prevent that fertilizer from contaminating another body of water .
"(1, 1, 1, 2375)","( Table Myth If you are sexually active with just one person, you cant get STIs. If you dont have any symptoms, then you dont have an STI.",you are sexually active with just one person,you cant get STIs .
"(1, 1, 1, 2272)","4. Once sperm are mature, they can swim. The mature sperm remain in the epididymis until it is time for them to leave the body.",sperm are mature,they can swim .
"(12, 3205)","The Kyoto Protocol has not been as successful as the Montreal Protocol. One reason is that the worlds biggest producer of greenhouse gases, the U.S., did not sign the Kyoto Protocol. Of the nations that signed it, few are","the worlds biggest producer of greenhouse gases , the U.S. , did not sign the Kyoto Protocol .",The Kyoto Protocol has not been as successful as the Montreal Protocol
"(0, 1500)","The speed of a moving car or other object at a given instant is called its instantaneous speed. It may vary from moment to moment, so it is hard to calculate. Its easier to calculate the average speed of a moving object than the instantaneous speed.",It may vary from moment to moment,it is hard to calculate .
"(3, 1, 1, 394)","They occur not only in water but in other polar molecules in which positive hydrogen atoms are attracted to negative atoms in nearby molecules. Hydrogen bonds are relatively weak as chemical bonds go. For example, they are much weaker than the bonds holding atoms together within molecules of covalent compounds.",chemical bonds go .,Hydrogen bonds are relatively weak
"(3, 2, 1, 656)","Many parasitic diseases caused by roundworms result from poor personal hygiene. Contributing factors may include lack of a clean water supply, inadequate sanitation measures, crowded living conditions, combined with a lack of access to health care and low levels of education. ",Contributing factors may include lack of a clean water supply,"inadequate sanitation measures , crowded living conditions , combined with a lack of access to health care and low levels of education ."
"(1, 1, 1, 1184)",Coal mining underground is dangerous for the coal miners. Miners are sometimes killed if there is an explosion or a mine collapse. Miners breathe in coal dust and can get terrible lung diseases after a number of years in the mines.,there is an explosion or a mine collapse .,Miners are sometimes killed
"(6, 654)","People who have certain medical conditions including asthma, diabetes, and chronic lung disease, pregnant women, and people younger than 5 years (and especially those younger than 2), and people 65 years and older should also make sure they get the yearly flu vaccine. Seeking medical help for diseases like asthma can help stop the disease from getting worse. If you are unsure if you should go to the doctor, call the doctors office and ask.",Seeking medical help for diseases like asthma,can help stop the disease from getting worse
"(1, 1, 1, 2492)","As a result, the paper clips will no longer be magnetized or stick together. If you stroke an iron nail with a bar magnet, the nail will become a permanent (or at least long-lasting) magnet. You can see how its done in the Figure 1.3.",you stroke an iron nail with a bar magnet,the nail will become a permanent -LRB- or at least long-lasting -RRB- magnet .
"(10, 3227)","For example, releasing smoke and dust from factories and cars can cause air pollution. Air pollution is due to chemical substances and particles released into the air mainly by human actions. This pollution affects entire ecosystems around the world.",chemical substances and particles released into the air mainly by human actions,Air pollution
